# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 11:00:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpt8n0_g6b/crbmzz6f.json
# init = /tmp/tmpt8n0_g6b/r26x0pm_.json
# random
#   seed = 97092
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/BAO/BAO-20230724120041.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,lambda,theta.1,theta.2,theta.3,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,E,intofEinv,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.344748
# Diagonal elements of inverse mass matrix:
# 0.00111733, 0.00395018
-7.26792,0.916164,0.344748,1,1,0,7.46438,0.801008,0.48081,147.78,299792,0.326574,0.801008,0.48081,0.326574,0.58674,1.24449,1.36285,1.50462,1.53913,1.69569,2.83572,0.288672,0.380859,0.471675,0.491389,0.571872,0.932083,2.83572,0.932083,2900.99,1270.03,1648.17,2004.79,2080.01,2378.75,3544.22
-6.71688,1,0.344748,1,1,0,7.32334,0.797699,0.48538,147.78,299792,0.324575,0.797699,0.48538,0.324575,0.593906,1.24709,1.36647,1.50933,1.5441,1.70172,2.84816,0.288367,0.380335,0.470888,0.49054,0.570751,0.929511,2.84816,0.929511,2903.43,1273.89,1652.52,2009.37,2084.62,2383.39,3548.25
-5.79169,0.968886,0.344748,3,7,0,7.28235,0.757253,0.46669,147.78,299792,0.332694,0.757253,0.46669,0.332694,0.564792,1.23647,1.35163,1.48999,1.52373,1.67695,2.79694,0.289616,0.382487,0.474127,0.494037,0.575379,0.940184,2.79694,0.940184,3100.57,1301.49,1691.13,2059.34,2137.09,2446.09,3653.97
-3.74176,0.998729,0.344748,3,7,0,6.30076,0.741709,0.39719,147.78,299792,0.361677,0.741709,0.39719,0.361677,0.461106,1.19713,1.29599,1.41667,1.44636,1.58216,2.59767,0.294305,0.390702,0.486691,0.507649,0.593611,0.983853,2.59767,0.983853,3344.21,1289.61,1686.96,2066.78,2147.46,2469.54,3743.66
-5.3559,0.856289,0.344748,2,7,0,5.90141,0.744839,0.304215,147.78,299792,0.397817,0.744839,0.304215,0.397817,0.333679,1.14558,1.2212,1.31576,1.33935,1.44872,2.30494,0.300616,0.402137,0.504755,0.527355,0.62072,1.05477,2.30494,1.05477,3630.14,1237.97,1636.06,2024.33,2107.73,2443.64,3806.21
-3.41925,0.931626,0.344748,2,3,0,7.01849,0.726389,0.355829,147.78,299792,0.3781,0.726389,0.355829,0.3781,0.402835,1.17399,1.26269,1.3721,1.39918,1.52371,2.47159,0.297113,0.395735,0.494554,0.516206,0.605271,1.01336,2.47159,1.01336,3540.91,1283.5,1686.32,2074.55,2157.38,2489.19,3814.3
-2.32319,0.994838,0.344748,2,7,0,4.14454,0.752305,0.36747,147.78,299792,0.373536,0.752305,0.36747,0.373536,0.418977,1.18047,1.27206,1.38471,1.41253,1.54031,2.5077,0.296322,0.394309,0.492312,0.513763,0.601926,1.00475,2.5077,1.00475,3383.15,1267.26,1662.89,2043.26,2124.3,2448.63,3740.11
-3.83385,0.853787,0.344748,3,11,0,5.11454,0.760073,0.436238,147.78,299792,0.34562,0.760073,0.436238,0.34562,0.518469,1.21919,1.32733,1.45813,1.49014,1.63594,2.71141,0.291663,0.386046,0.479531,0.499884,0.583165,0.958499,2.71141,0.958499,3161.62,1289.12,1679.82,2050.76,2129.27,2441.87,3669.62
-3.08128,0.997259,0.344748,3,7,0,4.18577,0.759318,0.360728,147.78,299792,0.376184,0.759318,0.360728,0.376184,0.409603,1.17671,1.26663,1.37741,1.40481,1.53071,2.48685,0.29678,0.395134,0.493608,0.515175,0.603857,1.0097,2.48685,1.0097,3372.28,1258.2,1652.2,2031.53,2112.42,2436.3,3728.14
-3.8035,0.999739,0.344748,3,7,0,4.0496,0.758628,0.433258,147.78,299792,0.346865,0.758628,0.433258,0.346865,0.514012,1.2175,1.32494,1.45499,1.48683,1.63189,2.7029,0.291864,0.386398,0.480068,0.500465,0.583943,0.960357,2.7029,0.960357,3175.06,1289.27,1680.5,2052.13,2130.8,2444.12,3675.28
-3.81583,0.942503,0.344748,2,3,0,4.88569,0.775381,0.435905,147.78,299792,0.345759,0.775381,0.435905,0.345759,0.517971,1.219,1.32706,1.45778,1.48977,1.63549,2.71046,0.291686,0.386086,0.479591,0.499949,0.583252,0.958706,2.71046,0.958706,3100.01,1276.39,1663.29,2030.64,2108.39,2417.98,3633.97
-4.09325,0.970312,0.344748,1,3,0,4.51792,0.771434,0.453794,147.78,299792,0.338213,0.771434,0.453794,0.338213,0.545006,1.22914,1.34136,1.47655,1.50957,1.65969,2.76104,0.290481,0.383986,0.476396,0.496491,0.578639,0.947795,2.76104,0.947795,3073.18,1285.6,1672.47,2038.76,2116.18,2424.09,3630.04
-4.83622,0.988161,0.344748,2,3,0,4.95305,0.779109,0.475444,147.78,299792,0.32891,0.779109,0.475444,0.32891,0.578364,1.24144,1.35859,1.49907,1.53329,1.68859,2.82105,0.28903,0.381476,0.472603,0.492391,0.573198,0.935134,2.82105,0.935134,2994.21,1285.96,1669.64,2031.76,2108.17,2411.71,3596.81
-3.90841,0.910452,0.344748,3,7,0,5.75404,0.764985,0.444503,147.78,299792,0.342147,0.764985,0.444503,0.342147,0.530906,1.22387,1.33394,1.46682,1.49931,1.64716,2.73489,0.291106,0.385074,0.478049,0.498279,0.581021,0.953409,2.73489,0.953409,3121.2,1287.87,1676.87,2045.72,2123.73,2434.2,3651.9
-2.67847,0.996872,0.344748,2,7,0,7.00524,0.759597,0.397451,147.78,299792,0.361572,0.759597,0.397451,0.361572,0.461481,1.19728,1.2962,1.41695,1.44665,1.58252,2.59844,0.294287,0.390671,0.486642,0.507596,0.593539,0.983676,2.59844,0.983676,3264.74,1274.65,1667.35,2042.71,2122.44,2440.72,3699.74
-3.22897,0.95976,0.344748,2,3,0,3.4588,0.767866,0.420293,147.78,299792,0.352244,0.767866,0.420293,0.352244,0.494769,1.21016,1.31455,1.44128,1.47235,1.61414,2.66554,0.29274,0.387936,0.482424,0.503018,0.587366,0.968583,2.66554,0.968583,3169.41,1276.88,1666.45,2037.3,2115.9,2429.18,3663.01
-3.47266,0.871085,0.344748,3,11,0,6.42429,0.705439,0.305558,147.78,299792,0.397314,0.705439,0.305558,0.397314,0.335429,1.14631,1.22228,1.31723,1.34092,1.4507,2.30942,0.300525,0.401969,0.504484,0.527058,0.620305,1.05361,2.30942,1.05361,3827.62,1272.48,1681.4,2080.1,2165.72,2510.53,3908.55
-3.47266,0.772908,0.344748,1,1,0,4.24682,0.705439,0.305558,147.78,299792,0.397314,0.705439,0.305558,0.397314,0.335429,1.14631,1.22228,1.31723,1.34092,1.4507,2.30942,0.300525,0.401969,0.504484,0.527058,0.620305,1.05361,2.30942,1.05361,3827.62,1272.48,1681.4,2080.1,2165.72,2510.53,3908.55
-3.47266,0.799281,0.344748,1,3,0,4.37133,0.705439,0.305558,147.78,299792,0.397314,0.705439,0.305558,0.397314,0.335429,1.14631,1.22228,1.31723,1.34092,1.4507,2.30942,0.300525,0.401969,0.504484,0.527058,0.620305,1.05361,2.30942,1.05361,3827.62,1272.48,1681.4,2080.1,2165.72,2510.53,3908.55
-2.92418,1,0.344748,1,1,0,3.31149,0.707137,0.297716,147.78,299792,0.400242,0.707137,0.297716,0.400242,0.325248,1.14205,1.216,1.30862,1.33176,1.43913,2.28314,0.301056,0.40295,0.506069,0.528794,0.622738,1.0604,2.28314,1.0604,3849.46,1265.68,1673.96,2072.83,2158.59,2504.27,3909.79
-2.61044,0.535176,0.344748,2,3,0,4.0333,0.712712,0.294415,147.78,299792,0.401469,0.712712,0.294415,0.401469,0.320989,1.14026,1.21336,1.30499,1.3279,1.43424,2.27198,0.301279,0.403364,0.506738,0.529529,0.623769,1.0633,2.27198,1.0633,3832.57,1258.51,1665.13,2062.72,2148.24,2493.13,3897.13
-2.22638,0.910297,0.344748,4,15,0,2.92121,0.738292,0.356133,147.78,299792,0.377981,0.738292,0.356133,0.377981,0.403253,1.17416,1.26293,1.37243,1.39953,1.52415,2.47254,0.297093,0.395698,0.494495,0.516142,0.605183,1.01313,2.47254,1.01313,3482.86,1273.41,1673.01,2058.11,2140.27,2469.38,3783.63
-2.77147,0.951314,0.344748,3,11,0,3.36405,0.731808,0.308903,147.78,299792,0.396059,0.731808,0.308903,0.396059,0.339799,1.14813,1.22496,1.3209,1.34482,1.45562,2.32055,0.300299,0.401551,0.503811,0.526321,0.619274,1.05076,2.32055,1.05076,3677.15,1251.83,1653.46,2044.73,2128.72,2466.81,3835.99
-2.55551,1,0.344748,2,5,0,2.81888,0.729776,0.347829,147.78,299792,0.38121,0.729776,0.347829,0.38121,0.391858,1.16954,1.25625,1.36342,1.38997,1.51224,2.44648,0.297657,0.396719,0.496107,0.5179,0.607599,1.01942,2.44648,1.01942,3550.58,1276.36,1678.42,2066.57,2149.47,2481.79,3811.71
-2.1043,1,0.344748,2,7,0,3.06536,0.741207,0.35283,147.78,299792,0.379268,0.741207,0.35283,0.379268,0.398708,1.17232,1.26027,1.36885,1.39573,1.51942,2.46221,0.297317,0.396104,0.495135,0.51684,0.606141,1.01561,2.46221,1.01561,3479.68,1269.24,1668.13,2052.82,2134.93,2463.92,3778.8
-2.39449,0.865479,0.344748,2,7,0,3.35046,0.723923,0.328999,147.78,299792,0.388452,0.723923,0.328999,0.388452,0.366398,1.15914,1.24109,1.3429,1.36819,1.48501,2.38636,0.298936,0.399048,0.499804,0.521937,0.613174,1.03418,2.38636,1.03418,3643.86,1270.88,1674.74,2066.3,2150.12,2486.77,3841.33
-2.08697,0.97465,0.344748,2,7,0,2.70035,0.737572,0.338762,147.78,299792,0.384711,0.737572,0.338762,0.384711,0.379533,1.16453,1.24895,1.35355,1.3795,1.49916,2.41771,0.298273,0.397838,0.49788,0.519835,0.610267,1.02643,2.41771,1.02643,3543.1,1264.77,1664.85,2051.88,2134.63,2466.64,3798.71
-2.88379,0.916557,0.344748,3,11,0,3.08988,0.757104,0.406832,147.78,299792,0.357764,0.757104,0.406832,0.357764,0.475057,1.20256,1.30374,1.42697,1.45724,1.59556,2.6262,0.293651,0.389544,0.484899,0.505704,0.590982,0.977382,2.6262,0.977382,3249.97,1280.56,1673.49,2048.42,2127.99,2445.41,3698.68
-3.33359,0.886168,0.344748,2,3,0,4.0774,0.770813,0.40902,147.78,299792,0.356871,0.770813,0.40902,0.356871,0.478243,1.2038,1.3055,1.4293,1.4597,1.5986,2.63264,0.293503,0.389281,0.484495,0.505265,0.59039,0.975934,2.63264,0.975934,3186.42,1270.15,1659.52,2030.91,2109.71,2424.01,3664.47
-3.45026,0.827978,0.344748,1,3,0,4.86643,0.75275,0.415294,147.78,299792,0.354302,0.75275,0.415294,0.354302,0.487417,1.20734,1.31054,1.43598,1.46675,1.60726,2.651,0.293078,0.388531,0.483339,0.504011,0.588702,0.97182,2.651,0.97182,3246.17,1287.55,1681.19,2056.26,2135.79,2452.87,3702.84
-2.11805,0.995729,0.344748,3,11,0,3.54136,0.738722,0.338121,147.78,299792,0.384958,0.738722,0.338121,0.384958,0.378665,1.16417,1.24843,1.35285,1.37876,1.49823,2.41566,0.298316,0.397918,0.498006,0.519973,0.610457,1.02694,2.41566,1.02694,3539.74,1263.44,1663.23,2050.02,2132.72,2464.59,3796.28
-2.39998,0.873567,0.344748,2,3,0,2.57032,0.734577,0.354518,147.78,299792,0.378611,0.734577,0.354518,0.378611,0.401029,1.17326,1.26163,1.37068,1.39767,1.52184,2.46749,0.297202,0.395896,0.494808,0.516483,0.605651,1.01434,2.46749,1.01434,3505.65,1275.75,1676.38,2062.6,2145.02,2475.21,3794.28
-2.14379,1,0.344748,1,1,0,2.32259,0.736888,0.349236,147.78,299792,0.380665,0.736888,0.349236,0.380665,0.393782,1.17032,1.25738,1.36495,1.39159,1.51426,2.45092,0.297561,0.396546,0.495833,0.517601,0.607188,1.01834,2.45092,1.01834,3511.72,1271.02,1671.13,2057.3,2139.75,2470.26,3792.46
-2.16157,0.975187,0.344748,2,7,0,3.71228,0.727135,0.322794,147.78,299792,0.390814,0.727135,0.322794,0.390814,0.358121,1.15573,1.23611,1.33611,1.36099,1.47597,2.36623,0.299357,0.399819,0.501035,0.523282,0.615041,1.03921,2.36623,1.03921,3649.8,1264.43,1667.42,2058.7,2142.53,2479.45,3837.67
-2.77169,0.804173,0.344748,3,7,0,3.59967,0.724163,0.339337,147.78,299792,0.38449,0.724163,0.339337,0.38449,0.38031,1.16484,1.24941,1.35417,1.38016,1.49999,2.41954,0.298234,0.397767,0.497768,0.519712,0.610097,1.02599,2.41954,1.02599,3606.74,1276.58,1680.3,2070.78,2154.26,2489.21,3832.78
-2.87044,0.639955,0.344748,2,5,0,5.487,0.716675,0.289273,147.78,299792,0.403374,0.716675,0.289273,0.403374,0.314385,1.13748,1.20925,1.29934,1.32188,1.42662,2.25451,0.301627,0.40401,0.507785,0.530677,0.625384,1.06787,2.25451,1.06787,3832.14,1251.46,1656.82,2053.71,2139.15,2483.92,3890.25
-2.30715,0.996801,0.344748,3,11,0,2.93523,0.742797,0.367527,147.78,299792,0.373514,0.742797,0.367527,0.373514,0.419055,1.1805,1.27211,1.38477,1.4126,1.54039,2.50788,0.296319,0.394302,0.492301,0.513752,0.60191,1.00471,2.50788,1.00471,3426.28,1275.25,1673.37,2056.13,2137.68,2464.04,3763.59
-2.7585,0.87735,0.344748,3,11,0,4.33149,0.72504,0.300064,147.78,299792,0.399367,0.72504,0.300064,0.399367,0.328287,1.14332,1.21788,1.3112,1.3345,1.4426,2.29104,0.300897,0.402656,0.505593,0.528273,0.622007,1.05835,2.29104,1.05835,3745.26,1251.76,1655.09,2048.89,2133.53,2474.6,3860.17
-3.34293,0.920538,0.344748,3,11,0,4.9131,0.763405,0.426922,147.78,299792,0.349501,0.763405,0.426922,0.349501,0.504577,1.21391,1.31987,1.4483,1.47976,1.62324,2.68471,0.292292,0.387148,0.481216,0.501709,0.585609,0.964347,2.68471,0.964347,3171.05,1283.01,1673.36,2044.54,2123.17,2436.41,3668.62
-3.12529,0.990432,0.344748,3,11,0,3.82383,0.710496,0.279896,147.78,299792,0.406829,0.710496,0.279896,0.406829,0.302442,1.13244,1.20177,1.28903,1.31089,1.41266,2.2223,0.30226,0.405189,0.509703,0.532782,0.628356,1.07638,2.2223,1.07638,3904.67,1249.95,1656.7,2055.94,2142.01,2489.77,3913.68
-2.86855,0.60132,0.344748,3,9,0,4.41363,0.761191,0.407738,147.78,299792,0.357394,0.761191,0.407738,0.357394,0.476375,1.20307,1.30447,1.42794,1.45826,1.59682,2.62887,0.29359,0.389435,0.484731,0.505522,0.590737,0.976782,2.62887,0.976782,3230.11,1277.53,1669.37,2043.21,2122.54,2438.99,3688.2
-3.64776,0.800267,0.344748,2,3,0,4.08147,0.771103,0.389664,147.78,299792,0.364709,0.771103,0.389664,0.364709,0.450312,1.1929,1.28994,1.40861,1.43783,1.57164,2.57518,0.294815,0.391611,0.4881,0.509181,0.595686,0.989006,2.57518,0.989006,3237.33,1261.96,1652.07,2025.49,2104.87,2421.95,3678.25
-2.45136,0.926148,0.344748,3,11,0,5.50317,0.720638,0.322084,147.78,299792,0.391084,0.720638,0.322084,0.391084,0.357177,1.15534,1.23554,1.33534,1.36016,1.47493,2.36391,0.299405,0.399907,0.501176,0.523437,0.615256,1.03979,2.36391,1.03979,3685.28,1269.61,1674.38,2067.46,2151.69,2490.22,3855.23
-2.11085,0.883849,0.344748,2,7,0,3.74756,0.742576,0.354397,147.78,299792,0.378658,0.742576,0.354397,0.378658,0.400863,1.17319,1.26153,1.37055,1.39753,1.52166,2.46712,0.297211,0.395911,0.494831,0.516508,0.605686,1.01443,2.46712,1.01443,3468.27,1268.89,1667.39,2051.57,2133.55,2462,3774.17
-2.43777,0.92238,0.344748,2,7,0,3.74771,0.728696,0.342217,147.78,299792,0.38338,0.728696,0.342217,0.38338,0.384215,1.16644,1.25173,1.35731,1.38349,1.50415,2.42871,0.298038,0.397412,0.497203,0.519096,0.609247,1.02374,2.42871,1.02374,3574.57,1274.25,1676.69,2065.69,2148.83,2482.28,3818.8
-3.00912,0.957066,0.344748,3,9,0,4.00767,0.758501,0.359998,147.78,299792,0.37647,0.758501,0.359998,0.37647,0.408592,1.17631,1.26605,1.37662,1.40397,1.52967,2.48458,0.29683,0.395224,0.493749,0.515328,0.604067,1.01025,2.48458,1.01025,3378.15,1258.5,1652.73,2032.34,2113.29,2437.46,3730.67
