# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 11:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpd5wvro_r/spscid6m.json
# init = /tmp/tmpd5wvro_r/9xvngoso.json
# random
#   seed = 24453
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CMB/CMB-20230724123932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,OL,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0472541
# Diagonal elements of inverse mass matrix:
# 6.79623e-05, 1.02838e-05, 5.09681e-05
-1.43753,0.951702,0.0472541,4,23,0,1.96365,0.676277,0.0484427,0.262441,4.15e-05,9.07401e-05,0.689026,0.676277,0.0484427,0.262441,9.07401e-05,0.689026,0.06138,0.548289,1092.15,0,0,3.13369,3.13369,0.0326455,301.566,1.74725,0.0221553,-0.00358461,0.0065514,-0.00012472
-1.48823,0.934171,0.0472541,3,7,0,2.52918,0.676694,0.0486329,0.262025,4.15e-05,9.06282e-05,0.689252,0.676694,0.0486329,0.262025,9.06282e-05,0.689252,0.0611403,0.548181,1091.99,0,0,3.13461,3.13461,0.0326486,301.626,1.74713,0.0222697,0.0559436,0.00642851,-1.02872e-05
-1.22778,0.965352,0.0472541,2,7,0,2.16807,0.676587,0.0484284,0.261945,4.15e-05,9.0657e-05,0.689536,0.676587,0.0484284,0.261945,9.0657e-05,0.689536,0.0613511,0.548276,1092.12,0,0,3.13576,3.13576,0.032665,301.585,1.74697,0.022169,0.0151819,0.00626642,-0.000110963
-1.59035,0.956608,0.0472541,3,15,0,2.122,0.676377,0.0483,0.262035,4.15e-05,9.07133e-05,0.689575,0.676377,0.0483,0.262035,9.07133e-05,0.689575,0.0615038,0.548344,1092.22,0,0,3.13591,3.13591,0.0326691,301.561,1.74694,0.0220966,-0.00888682,0.00624187,-0.000183436
-1.27436,1,0.0472541,2,3,0,1.57142,0.676351,0.0483848,0.26206,4.15e-05,9.07201e-05,0.689465,0.676351,0.0483848,0.26206,9.07201e-05,0.689465,0.0614256,0.548309,1092.17,0,0,3.13546,3.13546,0.0326614,301.589,1.747,0.0221337,0.0193864,0.00630288,-0.000146346
-1.62315,0.933586,0.0472541,4,23,0,2.22175,0.674668,0.0486609,0.263885,4.15e-05,9.11734e-05,0.687363,0.674668,0.0486609,0.263885,9.11734e-05,0.687363,0.0613926,0.548294,1092.16,0,0,3.12697,3.12697,0.0325638,301.675,1.74816,0.0221493,0.104864,0.00746036,-0.00013069
-3.35089,0.60254,0.0472541,2,3,0,4.85289,0.674898,0.0484745,0.264598,4.15e-05,9.11113e-05,0.686836,0.674898,0.0484745,0.264598,9.11113e-05,0.686836,0.0615399,0.54836,1092.3,0,0,3.12489,3.12489,0.0325631,301.481,1.74847,0.0220795,-0.0891525,0.00776763,-0.00020051
-1.66626,1,0.0472541,1,3,0,3.12607,0.674779,0.0486814,0.264416,4.15e-05,9.11434e-05,0.686812,0.674779,0.0486814,0.264416,9.11434e-05,0.686812,0.0613576,0.548279,1092.17,0,0,3.12478,3.12478,0.03255,301.592,1.74848,0.0221659,0.0217875,0.00777548,-0.000114075
-6.30969,0.747841,0.0472541,3,15,0,7.21808,0.674381,0.0481887,0.261866,4.15e-05,9.12509e-05,0.689854,0.674381,0.0481887,0.261866,9.12509e-05,0.689854,0.0618884,0.548512,1092.4,0,0,3.13696,3.13696,0.0326495,301.844,1.74674,0.0219158,0.274114,0.00603846,-0.000364239
-4.88455,1,0.0472541,1,1,0,6.24053,0.674534,0.0482183,0.26206,4.15e-05,9.12096e-05,0.689631,0.674534,0.0482183,0.26206,9.12096e-05,0.689631,0.0618383,0.54849,1092.38,0,0,3.13607,3.13607,0.0326445,301.804,1.74687,0.0219391,0.233885,0.00616942,-0.000340856
-1.20385,0.988621,0.0472541,5,47,0,7.53707,0.681685,0.0475496,0.254712,4.15e-05,8.93059e-05,0.697649,0.681685,0.0475496,0.254712,8.93059e-05,0.697649,0.0615049,0.548344,1092.09,0,0,3.16921,3.16921,0.0330154,301.567,1.74238,0.0220961,-0.00296543,0.00167756,-0.000183946
-1.34873,0.962528,0.0472541,1,1,0,1.42034,0.681683,0.0475311,0.254764,4.15e-05,8.93065e-05,0.697615,0.681683,0.0475311,0.254764,8.93065e-05,0.697615,0.0615234,0.548352,1092.1,0,0,3.16907,3.16907,0.0330154,301.554,1.7424,0.0220873,-0.0163207,0.0016977,-0.00019269
-1.29296,0.953654,0.0472541,2,3,0,1.94742,0.681614,0.0475382,0.254465,4.15e-05,8.93247e-05,0.697908,0.681614,0.0475382,0.254465,8.93247e-05,0.697908,0.0615259,0.548353,1092.09,0,0,3.17028,3.17028,0.033022,301.609,1.74222,0.0220861,0.0394158,0.00152344,-0.000193883
-0.774133,0.866007,0.0472541,4,15,0,3.26899,0.680207,0.0478609,0.256732,4.15e-05,8.96946e-05,0.695318,0.680207,0.0478609,0.256732,8.96946e-05,0.695318,0.0614031,0.548299,1092.06,0,0,3.15947,3.15947,0.0329104,301.599,1.74371,0.0221443,0.0293525,0.00300923,-0.000135683
-0.838361,0.850184,0.0472541,4,19,0,1.92814,0.681377,0.0479642,0.256265,4.15e-05,8.93867e-05,0.695681,0.681377,0.0479642,0.256265,8.93867e-05,0.695681,0.0611426,0.548182,1091.9,0,0,3.16102,3.16102,0.0329342,301.529,1.74352,0.0222686,-0.0412729,0.00282084,-1.14325e-05
-1.08587,0.959184,0.0472541,5,47,0,2.35846,0.684034,0.0478637,0.253348,4.15e-05,8.86936e-05,0.6987,0.684034,0.0478637,0.253348,8.86936e-05,0.6987,0.0608788,0.548063,1091.69,0,0,3.17368,3.17368,0.0330666,301.525,1.7418,0.0223956,-0.0446375,0.00110358,0.000115574
