# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 11:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpd5wvro_r/spscid6m.json
# init = /tmp/tmpd5wvro_r/9xvngoso.json
# random
#   seed = 24453
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CMB/CMB-20230724123932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,OL,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0367366
# Diagonal elements of inverse mass matrix:
# 0.000114842, 1.05617e-05, 8.33199e-05
-1.40739,0.663612,0.0367366,4,19,0,5.11852,0.690228,0.0469054,0.244312,4.15e-05,8.71089e-05,0.708696,0.690228,0.0469054,0.244312,8.71089e-05,0.708696,0.0609806,0.548109,1091.57,0,0,3.21679,3.21679,0.0335046,301.626,1.73593,0.0223464,0.0557456,-0.00477459,6.64476e-05
-2.69316,0.988088,0.0367366,6,87,0,4.53441,0.676919,0.0488351,0.262557,4.15e-05,9.05681e-05,0.688517,0.676919,0.0488351,0.262557,9.05681e-05,0.688517,0.0609169,0.54808,1091.87,0,0,3.13167,3.13167,0.0326223,301.586,1.74755,0.0223771,0.0160957,0.0068502,9.71434e-05
-2.42954,0.997077,0.0367366,4,23,0,3.31255,0.67739,0.0478764,0.259619,4.15e-05,9.04421e-05,0.692414,0.67739,0.0478764,0.259619,9.04421e-05,0.692414,0.0617758,0.548463,1092.33,0,0,3.14746,3.14746,0.0327841,301.611,1.74534,0.0219685,0.0406008,0.00463567,-0.000311544
-3.97505,0.925021,0.0367366,4,31,0,4.75972,0.677563,0.0487443,0.262488,4.15e-05,9.03959e-05,0.688677,0.677563,0.0487443,0.262488,9.03959e-05,0.688677,0.060915,0.548079,1091.89,0,0,3.13234,3.13234,0.0326417,301.471,1.74747,0.0223781,-0.0986152,0.00677444,9.80866e-05
-1.39727,0.992562,0.0367366,5,63,0,6.52399,0.685055,0.0472632,0.251265,4.15e-05,8.84295e-05,0.701383,0.685055,0.0472632,0.251265,8.84295e-05,0.701383,0.0613267,0.548265,1091.93,0,0,3.18505,3.18505,0.0331905,301.475,1.74024,0.0221806,-0.0948264,-0.000461009,-9.93541e-05
-0.970745,0.994574,0.0367366,3,7,0,1.95093,0.68512,0.0476538,0.250996,4.15e-05,8.84127e-05,0.701262,0.68512,0.0476538,0.250996,8.84127e-05,0.701262,0.0609355,0.548089,1091.67,0,0,3.18452,3.18452,0.0331673,301.637,1.74031,0.0223682,0.0668219,-0.000393235,8.81893e-05
-1.17669,0.998412,0.0367366,5,47,0,2.54658,0.689584,0.0468811,0.245968,4.15e-05,8.72717e-05,0.707064,0.689584,0.0468811,0.245968,8.72717e-05,0.707064,0.0610913,0.548159,1091.69,0,0,3.20964,3.20964,0.033448,301.464,1.73691,0.0222932,-0.106058,-0.00378806,1.31852e-05
-3.83367,0.96632,0.0367366,6,69,0,6.61171,0.668927,0.0493765,0.271167,4.15e-05,9.27449e-05,0.679364,0.668927,0.0493765,0.271167,9.27449e-05,0.679364,0.0615088,0.548346,1092.35,0,0,3.09539,3.09539,0.0322255,301.763,1.75251,0.0220942,0.192594,0.011805,-0.000185805
-3.50104,0.968051,0.0367366,5,47,0,6.91175,0.674089,0.0481866,0.263434,4.15e-05,9.133e-05,0.688288,0.674089,0.0481866,0.263434,9.133e-05,0.688288,0.0619311,0.548531,1092.48,0,0,3.13066,3.13066,0.032603,301.668,1.74763,0.0218958,0.0976522,0.00692803,-0.000384192
-3.11098,0.994855,0.0367366,4,23,0,4.22615,0.673891,0.0482651,0.264056,4.15e-05,9.13838e-05,0.687588,0.673891,0.0482651,0.264056,9.13838e-05,0.687588,0.0618823,0.54851,1092.47,0,0,3.12785,3.12785,0.0325771,301.636,1.74802,0.0219186,0.0663885,0.00732139,-0.000361425
-3.69313,0.885907,0.0367366,2,3,0,4.12557,0.673717,0.048474,0.263669,4.15e-05,9.14308e-05,0.687765,0.673717,0.048474,0.263669,9.14308e-05,0.687765,0.0617041,0.548432,1092.33,0,0,3.12855,3.12855,0.0325684,301.784,1.74791,0.0220021,0.214272,0.00721302,-0.000277899
-3.08684,0.981105,0.0367366,2,3,0,4.17967,0.674421,0.0482912,0.264179,4.15e-05,9.12402e-05,0.687439,0.674421,0.0482912,0.264179,9.12402e-05,0.687439,0.0617833,0.548466,1092.42,0,0,3.12728,3.12728,0.0325805,301.549,1.74812,0.0219649,-0.0208505,0.00741758,-0.000315082
-2.19728,0.928842,0.0367366,5,39,0,5.40857,0.677956,0.048645,0.261204,4.15e-05,9.0291e-05,0.690061,0.677956,0.048645,0.261204,9.0291e-05,0.690061,0.0609557,0.548098,1091.87,0,0,3.13792,3.13792,0.0326902,301.56,1.74669,0.0223584,-0.0103935,0.00599271,7.84276e-05
-1.24693,0.988775,0.0367366,4,23,0,2.78602,0.679915,0.0481942,0.25835,4.15e-05,8.97715e-05,0.693366,0.679915,0.0481942,0.25835,8.97715e-05,0.693366,0.0611199,0.548172,1091.93,0,0,3.15143,3.15143,0.0328349,301.524,1.74483,0.0222795,-0.0462753,0.00413494,-5.42395e-07
-1.48046,0.996581,0.0367366,4,23,0,2.23233,0.678401,0.047931,0.258923,4.15e-05,9.01726e-05,0.693056,0.678401,0.047931,0.258923,9.01726e-05,0.693056,0.0615828,0.548379,1092.21,0,0,3.15011,3.15011,0.0328153,301.577,1.74499,0.0220592,0.00748559,0.00428556,-0.000220769
-1.00842,1,0.0367366,4,31,0,1.96231,0.680165,0.0481676,0.25789,4.15e-05,8.97056e-05,0.693852,0.680165,0.0481676,0.25789,8.97056e-05,0.693852,0.0611115,0.548168,1091.91,0,0,3.15343,3.15343,0.0328537,301.543,1.74456,0.0222835,-0.0267438,0.00385836,3.51713e-06
-0.693766,1,0.0367366,2,3,0,1.03775,0.680038,0.048132,0.257477,4.15e-05,8.97391e-05,0.694302,0.680038,0.048132,0.257477,8.97391e-05,0.694302,0.0611632,0.548192,1091.92,0,0,3.15527,3.15527,0.0328657,301.609,1.74429,0.0222587,0.0386136,0.00359435,-2.12718e-05
-2.14153,0.91008,0.0367366,6,79,0,4.48545,0.694936,0.0465392,0.239253,4.15e-05,8.59327e-05,0.714122,0.694936,0.0465392,0.239253,8.59327e-05,0.714122,0.0607141,0.547987,1091.32,0,0,3.24108,3.24108,0.0337624,301.583,1.73267,0.0224754,0.0126026,-0.00803455,0.000195433
