# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.384541
# Diagonal elements of inverse mass matrix:
# 0.00214332, 0.0285898
-10.2686,0.960548,0.384541,2,5,0,11.0623,0.670336,0.421159,0.351887,0.670336,0.421159,0.351887,3.36845,3.39952,69.5268,70.3006,71.5128,73.6707,74.0773,75.0006,75.0475,78.4953,79.0142,82.9391,84.5524,85.7335,85.7573,87.2429,88.4762,90.0494,90.5793,90.6883,98.2714,104.532,109.811,112.213,119.726,120.135,121.779,133.411,157.366,163.391,169.912,179.855,202.564,225.799
-10.3184,1,0.384541,3,11,0,10.7291,0.740287,0.293331,0.401871,0.740287,0.293331,0.401871,2.8423,2.89009,75.8097,76.3656,77.24,78.8078,79.105,79.7817,79.8161,82.37,82.758,85.7244,86.9596,87.8697,87.8882,89.0398,90.0016,91.2358,91.6533,91.7393,97.8101,102.94,107.336,109.355,115.735,116.085,117.494,127.562,148.691,154.064,159.898,168.824,189.325,210.412
-10.0688,1,0.384541,1,1,0,10.4194,0.738026,0.292313,0.402249,0.738026,0.292313,0.402249,2.83772,2.88567,75.5709,76.1229,76.9912,78.5479,78.843,79.515,79.5492,82.0853,82.4707,85.4169,86.6439,87.548,87.5663,88.7103,89.6658,90.892,91.3068,91.3923,97.4247,102.523,106.893,108.9,115.244,115.592,116.993,127.005,148.022,153.367,159.17,168.052,188.449,209.431
-9.64156,0.905883,0.384541,1,3,0,10.8197,0.722876,0.265905,0.411937,0.722876,0.265905,0.411937,2.71636,2.7686,73.8382,74.3226,75.0847,76.4524,76.7118,77.3029,77.333,79.5674,79.9075,82.5119,83.5991,84.4012,84.4175,85.4337,86.2835,87.3754,87.7452,87.8214,93.2182,97.8059,101.755,103.574,109.34,109.656,110.934,120.087,139.423,144.359,149.724,157.945,176.863,196.359
-9.07475,0.98165,0.384541,2,3,0,9.8297,0.717893,0.309399,0.395873,0.717893,0.309399,0.395873,2.9136,2.95895,73.6286,74.2025,75.1048,76.7216,77.0278,77.7251,77.7606,80.3892,80.7882,83.8345,85.101,86.0335,86.0524,87.2315,88.2154,89.477,89.9036,89.9914,96.1798,101.391,105.846,107.89,114.335,114.688,116.11,126.248,147.458,152.84,158.681,167.613,188.107,209.165
-9.34278,0.996872,0.384541,3,7,0,9.76501,0.727808,0.292017,0.402358,0.727808,0.292017,0.402358,2.83639,2.88439,74.5226,75.0663,75.9215,77.4549,77.7456,78.4075,78.4412,80.9394,81.319,84.2213,85.43,86.3206,86.3386,87.4657,88.407,89.615,90.0237,90.1078,96.0511,101.074,105.38,107.358,113.609,113.952,115.332,125.199,145.911,151.179,156.899,165.652,185.755,206.435
-8.95017,0.740213,0.384541,2,5,0,11.272,0.688584,0.320854,0.39155,0.688584,0.320854,0.39155,2.96341,3.00708,70.7004,71.275,72.1781,73.7954,74.1016,74.7986,74.8341,77.4596,77.8578,80.8955,82.1571,83.0854,83.1042,84.2773,85.2557,86.5095,86.9333,87.0206,93.1589,98.3161,102.717,104.734,111.089,111.436,112.836,122.811,143.632,148.909,154.634,163.385,183.45,204.055
-8.75111,0.971094,0.384541,1,3,0,9.12964,0.698798,0.335286,0.386047,0.698798,0.335286,0.386047,3.025,3.06664,71.8499,72.4641,73.4291,75.1561,75.4829,76.2266,76.2644,79.0624,79.4864,82.7168,84.0564,85.0414,85.0613,86.3052,87.342,88.6697,89.1182,89.2106,95.6947,101.127,105.754,107.871,114.534,114.899,116.365,126.798,148.523,154.022,159.985,169.094,189.966,211.386
-8.75111,0.39233,0.384541,1,3,0,11.6858,0.698798,0.335286,0.386047,0.698798,0.335286,0.386047,3.025,3.06664,71.8499,72.4641,73.4291,75.1561,75.4829,76.2266,76.2644,79.0624,79.4864,82.7168,84.0564,85.0414,85.0613,86.3052,87.342,88.6697,89.1182,89.2106,95.6947,101.127,105.754,107.871,114.534,114.899,116.365,126.798,148.523,154.022,159.985,169.094,189.966,211.386
-9.06031,0.970471,0.384541,3,11,0,9.38326,0.674187,0.346906,0.381568,0.674187,0.346906,0.381568,3.0737,3.11377,69.3987,70.0156,70.9848,72.718,73.0458,73.7917,73.8296,76.633,77.0575,80.2883,81.6265,82.6099,82.6298,83.871,84.9049,86.2283,86.6751,86.7671,93.2175,98.6097,103.195,105.292,111.883,112.243,113.692,123.993,145.405,150.818,156.687,165.649,186.173,207.225
-9.72064,0.884371,0.384541,1,3,0,9.80163,0.671635,0.331684,0.387426,0.671635,0.331684,0.387426,3.00974,3.05188,69.0327,69.6154,70.5313,72.1705,72.4807,73.1868,73.2227,75.8799,76.2827,79.3521,80.6255,81.5619,81.5809,82.7636,83.7497,85.0126,85.4392,85.5271,91.6985,96.8724,101.281,103.3,109.653,110,111.399,121.353,142.092,147.343,153.037,161.739,181.678,202.145
-8.90658,0.973858,0.384541,2,7,0,10.2989,0.674797,0.371655,0.371884,0.674797,0.371655,0.371884,3.17497,3.21184,69.6334,70.3038,71.3559,73.2351,73.5901,74.3973,74.4383,77.4661,77.9237,81.3993,82.8352,83.8891,83.9104,85.239,86.3444,87.7577,88.2344,88.3326,95.1941,100.904,105.745,107.955,114.887,115.265,116.787,127.583,149.945,155.588,161.701,171.03,192.374,214.246
-8.90003,0.787538,0.384541,2,7,0,10.3761,0.694394,0.313617,0.394286,0.694394,0.313617,0.394286,2.93204,2.97676,71.2473,71.8113,72.698,74.2865,74.5874,75.2723,75.3071,77.8883,78.28,81.2697,82.5121,83.4267,83.4452,84.6014,85.566,86.8026,87.2207,87.3068,93.3682,98.4683,102.825,104.823,111.122,111.467,112.855,122.756,143.449,148.698,154.394,163.102,183.077,203.599
