# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.397221
# Diagonal elements of inverse mass matrix:
# 0.00198425, 0.0265891
-11.1512,0.926693,0.397221,1,3,0,12.0523,0.759605,0.243211,0.420108,0.759605,0.243211,0.420108,2.60767,2.66389,77.4304,77.8897,78.6125,79.9106,80.1569,80.7184,80.7469,82.8718,83.1955,85.6785,86.717,87.4839,87.4994,88.472,89.2862,90.3334,90.6883,90.7615,95.9581,100.398,104.236,106.008,111.64,111.95,113.201,122.196,141.318,146.217,151.55,159.732,178.598,198.08
-10.9366,0.851348,0.397221,2,3,0,12.8141,0.743396,0.233605,0.423525,0.743396,0.233605,0.423525,2.56032,2.61831,75.7132,76.1424,76.818,78.0315,78.2618,78.7868,78.8136,80.8014,81.1044,83.4296,84.4027,85.1217,85.1363,86.0485,86.8124,87.7954,88.1286,88.1973,93.0833,97.2672,100.89,102.564,107.894,108.188,109.373,117.907,136.104,140.774,145.862,153.672,171.699,190.333
-9.24812,0.957443,0.397221,3,11,0,12.9107,0.662637,0.373431,0.371181,0.662637,0.373431,0.371181,3.18212,3.21876,68.3909,69.0529,70.092,71.9475,72.298,73.0949,73.1354,76.1243,76.5759,80.0058,81.4226,82.4624,82.4834,83.794,84.8845,86.2784,86.7487,86.8454,93.6114,99.2402,104.011,106.189,113.019,113.392,114.891,125.526,147.549,153.106,159.125,168.311,189.326,210.859
-9.16786,0.943847,0.397221,2,3,0,9.68588,0.664852,0.370734,0.372248,0.664852,0.370734,0.372248,3.17126,3.20824,68.6008,69.2593,70.2929,72.1391,72.4878,73.2809,73.3212,76.2963,76.7459,80.1614,81.5727,82.6085,82.6295,83.9353,85.0219,86.4111,86.8798,86.9762,93.722,99.3367,104.097,106.27,113.089,113.461,114.957,125.577,147.576,153.127,159.141,168.321,189.321,210.842
-9.05524,0.9547,0.397221,3,9,0,10.3661,0.715399,0.315394,0.393615,0.715399,0.315394,0.393615,2.93977,2.98424,73.415,74,74.9196,76.5668,76.8788,77.589,77.6251,80.3012,80.7072,83.806,85.0936,86.0413,86.0605,87.2584,88.2578,89.5389,89.9719,90.0611,96.3385,101.618,106.128,108.195,114.713,115.069,116.506,126.746,148.142,153.569,159.457,168.458,189.103,210.311
-9.12615,0.892948,0.397221,2,7,0,9.8603,0.684365,0.322208,0.391036,0.684365,0.322208,0.391036,2.96924,3.01272,70.2764,70.8502,71.7522,73.3675,73.6733,74.3694,74.4048,77.0265,77.4241,80.4568,81.7161,82.6427,82.6614,83.8322,84.8087,86.06,86.4829,86.5699,92.6942,97.8383,102.228,104.239,110.574,110.92,112.316,122.258,143.007,148.266,153.97,162.688,182.677,203.204
-9.39216,0.922079,0.397221,3,9,0,10.0845,0.722985,0.31034,0.395519,0.722985,0.31034,0.395519,2.91773,2.96294,74.1576,74.7376,75.6496,77.2835,77.593,78.2977,78.3335,80.9897,81.3929,84.4708,85.7504,86.6924,86.7115,87.9026,88.8965,90.1709,90.6017,90.6904,96.9403,102.203,106.7,108.763,115.269,115.626,117.06,127.293,148.694,154.125,160.018,169.03,189.704,210.947
-9.6408,0.922326,0.397221,1,1,0,9.75688,0.72381,0.316191,0.393315,0.72381,0.316191,0.393315,2.94323,2.98758,74.2838,74.8774,75.8106,77.4821,77.7986,78.5192,78.5559,81.271,81.683,84.8266,86.1328,87.0941,87.1135,88.3286,89.3423,90.6417,91.0809,91.1713,97.5373,102.891,107.463,109.559,116.165,116.527,117.983,128.361,150.044,155.543,161.509,170.629,191.547,213.034
-8.79375,0.836616,0.397221,2,3,0,10.7422,0.701971,0.33208,0.387275,0.701971,0.33208,0.387275,3.01143,3.05351,72.1535,72.7635,73.722,75.4377,75.7624,76.5013,76.5389,79.3198,79.7413,82.9535,84.286,85.2659,85.2857,86.5234,87.5552,88.8767,89.3231,89.415,95.8721,101.285,105.898,108.009,114.655,115.018,116.481,126.893,148.586,154.078,160.034,169.134,189.988,211.393
-9.02609,0.986415,0.397221,2,7,0,9.6698,0.671964,0.355286,0.378311,0.671964,0.355286,0.378311,3.10836,3.14732,69.2275,69.8601,70.8535,72.6296,72.9653,73.7291,73.7679,76.6369,77.071,80.373,81.7395,82.7433,82.7636,84.0299,85.0845,86.4336,86.889,86.9827,93.55,99.0313,103.688,105.815,112.499,112.864,114.333,124.767,146.426,151.898,157.829,166.885,187.615,208.871
-10.8198,0.853266,0.397221,3,7,0,11.3991,0.744749,0.293673,0.401744,0.744749,0.293673,0.401744,2.84384,2.89158,76.2691,76.8291,77.71,79.2894,79.5887,80.2704,80.3051,82.8777,83.2686,86.2565,87.5007,88.4174,88.436,89.596,90.5647,91.8078,92.2283,92.3149,98.429,103.595,108.022,110.055,116.479,116.831,118.25,128.387,149.66,155.069,160.942,169.929,190.567,211.794
-10.9355,0.996807,0.397221,2,3,0,11.2099,0.712143,0.252881,0.416643,0.712143,0.252881,0.416643,2.65451,2.709,72.6557,73.1059,73.8146,75.0868,75.3282,75.8783,75.9063,77.9872,78.3041,80.7333,81.7484,82.4978,82.513,83.463,84.2579,85.2798,85.6261,85.6974,90.7601,95.0763,98.8003,100.518,105.971,106.271,107.481,116.167,134.58,139.289,144.413,152.269,170.367,189.039
-9.6855,1,0.397221,2,3,0,10.9384,0.734995,0.266726,0.411639,0.734995,0.266726,0.411639,2.72021,2.77232,75.0818,75.576,76.3536,77.7492,78.0139,78.617,78.6477,80.9274,81.2744,83.9313,85.0404,85.8586,85.8752,86.9118,87.7786,88.8923,89.2694,89.3471,94.8509,99.5285,103.555,105.409,111.286,111.608,112.91,122.239,141.94,146.967,152.433,160.807,180.077,199.934
-8.75283,0.97574,0.397221,2,7,0,11.0594,0.682367,0.353071,0.379174,0.682367,0.353071,0.379174,3.09924,3.13848,70.2836,70.9213,71.9227,73.7132,74.0517,74.8219,74.861,77.7543,78.1922,81.5233,82.9023,83.9152,83.9357,85.2139,86.2783,87.6402,88.1,88.1946,94.8267,100.364,105.07,107.22,113.977,114.346,115.831,126.382,148.291,153.828,159.829,168.992,189.97,211.482
-9.00632,0.948506,0.397221,2,7,0,10.4022,0.708197,0.294115,0.40158,0.708197,0.294115,0.40158,2.84582,2.89349,72.5289,73.0624,73.9015,75.4059,75.691,76.3404,76.3735,78.8239,79.1962,82.0422,83.2271,84.1002,84.1179,85.2226,86.1452,87.3291,87.7295,87.812,93.6343,98.5532,102.768,104.704,110.82,111.155,112.506,122.156,142.404,147.552,153.142,161.696,181.338,201.54
-9.20347,0.978937,0.397221,2,7,0,12.2552,0.671861,0.391053,0.364151,0.671861,0.391053,0.364151,3.25215,3.28666,69.4676,70.1769,71.2895,73.2743,73.6488,74.5001,74.5433,77.7311,78.2121,81.8595,83.3634,84.466,84.4883,85.8771,87.0317,88.5064,89.0036,89.1059,96.2447,102.166,107.175,109.459,116.613,117.003,118.571,129.685,152.65,158.437,164.703,174.263,196.118,218.5
-9.1595,1,0.397221,1,1,0,9.22518,0.671742,0.389222,0.364886,0.671742,0.389222,0.364886,3.24495,3.27967,69.4422,70.1474,71.2537,73.2273,73.5998,74.4464,74.4894,77.6603,78.1388,81.768,83.2646,84.3621,84.3843,85.7667,86.916,88.3841,88.8791,88.9809,96.0899,101.988,106.979,109.254,116.384,116.772,118.335,129.414,152.309,158.079,164.328,173.86,195.656,217.977
-9.35867,0.778651,0.397221,2,3,0,10.3953,0.675974,0.392189,0.363694,0.675974,0.392189,0.363694,3.25662,3.29099,69.9009,70.6171,71.7404,73.744,74.1221,74.9814,75.025,78.2425,78.7279,82.4086,83.926,85.0386,85.061,86.4622,87.627,89.1146,89.6162,89.7194,96.9198,102.891,107.942,110.244,117.457,117.85,119.431,130.634,153.78,159.612,165.927,175.561,197.585,220.139
-9.30223,1,0.397221,1,1,0,9.4293,0.675394,0.391102,0.364131,0.675394,0.391102,0.364131,3.25234,3.28684,69.8332,70.5464,71.665,73.6604,74.037,74.8929,74.9363,78.1413,78.6249,82.2919,83.8039,84.9125,84.9349,86.3312,87.4919,88.9745,89.4744,89.5773,96.7544,102.708,107.743,110.039,117.232,117.623,119.2,130.374,153.461,159.278,165.578,175.189,197.161,219.661
-10.0593,0.919394,0.397221,2,3,0,10.0844,0.679436,0.403893,0.35896,0.679436,0.403893,0.35896,3.30225,3.33526,70.3438,71.0896,72.2587,74.3424,74.7353,75.6281,75.6735,79.0128,79.5162,83.3288,84.8987,86.0491,86.0724,87.5203,88.7234,90.2592,90.7768,90.8833,98.3039,104.446,109.635,111.999,119.398,119.801,121.422,132.899,156.579,162.541,168.996,178.84,201.338,224.367
-9.06521,0.996481,0.397221,2,3,0,9.98084,0.666667,0.379738,0.368677,0.666667,0.379738,0.368677,3.20736,3.24323,68.8509,69.5304,70.5967,72.5001,72.8596,73.6767,73.7182,76.7812,77.2437,80.755,82.2044,83.2678,83.2893,84.6292,85.7438,87.1681,87.6485,87.7474,94.6542,100.394,105.256,107.474,114.428,114.807,116.332,127.151,149.535,155.18,161.295,170.625,191.964,213.824
-9.51102,0.926738,0.397221,2,3,0,9.66433,0.67083,0.402722,0.359436,0.67083,0.402722,0.359436,3.29772,3.33086,69.4444,70.1781,71.3285,73.3789,73.7656,74.6442,74.6888,77.9755,78.4709,82.2241,83.7698,84.9024,84.9253,86.3511,87.5357,89.0481,89.5578,89.6626,96.9713,103.022,108.134,110.463,117.754,118.151,119.748,131.059,154.398,160.275,166.638,176.342,198.519,221.221
-9.38951,1,0.397221,2,3,0,9.55746,0.657513,0.385627,0.366327,0.657513,0.385627,0.366327,3.23075,3.2659,67.9462,68.6289,69.6999,71.611,71.9717,72.7918,72.8334,75.9058,76.3695,79.888,81.3396,82.4042,82.4257,83.7669,84.8822,86.307,86.7874,86.8863,93.7894,99.5205,104.371,106.583,113.517,113.895,115.415,126.193,148.478,154.095,160.179,169.461,190.686,212.426
-8.85744,0.990821,0.397221,3,9,0,9.71721,0.710873,0.302237,0.398556,0.710873,0.302237,0.398556,2.88203,2.92846,72.8589,73.4118,74.2812,75.8395,76.1347,76.8071,76.8413,79.377,79.762,82.7037,83.9276,84.829,84.8473,85.9874,86.9392,88.16,88.5728,88.6579,94.6535,99.7102,104.038,106.024,112.293,112.637,114.02,123.895,144.583,149.837,155.541,164.265,184.29,204.876
-9.52488,0.83212,0.397221,2,3,0,9.76796,0.69742,0.291901,0.402401,0.69742,0.291901,0.402401,2.83587,2.88389,71.4102,71.931,72.7501,74.2189,74.4972,75.1312,75.1635,77.5564,77.92,80.6999,81.8576,82.7107,82.728,83.8075,84.7092,85.8662,86.2577,86.3383,92.0313,96.8432,100.968,102.863,108.85,109.179,110.501,119.953,139.796,144.842,150.322,158.707,177.967,197.779
-9.4954,0.848042,0.397221,2,7,0,11.2111,0.725767,0.306865,0.396824,0.725767,0.306865,0.396824,2.90247,2.9482,74.4182,74.9928,75.8963,77.5154,77.8221,78.5205,78.556,81.1891,81.5889,84.6416,85.9111,86.8459,86.8649,88.047,89.0336,90.2988,90.7266,90.8147,97.0233,102.255,106.728,108.781,115.256,115.611,117.039,127.23,148.559,153.973,159.85,168.837,189.458,210.652
-9.25401,0.997118,0.397221,2,7,0,9.90386,0.691326,0.30685,0.39683,0.691326,0.30685,0.39683,2.90241,2.94813,70.8866,71.4339,72.2945,73.8366,74.1288,74.794,74.8278,77.3358,77.7166,80.6243,81.8335,82.7239,82.7419,83.8679,84.8076,86.0127,86.4202,86.5041,92.4178,97.4007,101.662,103.617,109.785,110.123,111.483,121.19,141.506,146.663,152.261,160.821,180.463,200.651
-8.68782,0.995774,0.397221,2,3,0,9.27321,0.697802,0.326072,0.389568,0.697802,0.326072,0.389568,2.98582,3.02875,71.6831,72.2765,73.2091,74.8789,75.195,75.9145,75.9511,78.6599,79.0706,82.2024,83.5023,84.4586,84.4779,85.6861,86.6935,87.9842,88.4203,88.5101,94.8231,100.122,104.64,106.71,113.227,113.584,115.019,125.24,146.557,151.957,157.814,166.765,187.284,208.351
-9.30363,0.955225,0.397221,3,11,0,10.1121,0.718667,0.277438,0.40773,0.718667,0.277438,0.40773,2.77,2.82033,73.4865,73.9923,74.788,76.2156,76.4863,77.103,77.1344,79.4639,79.8182,82.5296,83.6603,84.4941,84.511,85.5667,86.4492,87.5823,87.9659,88.0449,93.6344,98.3737,102.446,104.319,110.248,110.574,111.885,121.274,141.049,146.088,151.563,159.947,179.223,199.071
-9.06902,0.970572,0.397221,3,11,0,9.58806,0.709588,0.290664,0.402859,0.709588,0.290664,0.402859,2.83029,2.8785,72.6478,73.175,74.0043,75.4914,75.7732,76.4152,76.4479,78.871,79.2392,82.0546,83.2273,84.0915,84.109,85.2026,86.1161,87.2884,87.685,87.7667,93.5358,98.4133,102.595,104.516,110.588,110.921,112.263,121.85,141.983,147.104,152.665,161.176,180.724,200.834
-9.56288,0.979656,0.397221,3,15,0,10.2274,0.652597,0.409938,0.356496,0.652597,0.409938,0.356496,3.32558,3.3579,67.6076,68.3367,69.4796,71.5158,71.8997,72.7717,72.816,76.0756,76.5667,80.2846,81.8146,82.9353,82.9579,84.3682,85.5397,87.0347,87.5385,87.6421,94.8595,100.828,105.867,108.162,115.341,115.732,117.305,128.434,151.382,157.158,163.411,172.945,194.73,217.026
-9.47141,0.944985,0.397221,2,7,0,10.3062,0.667956,0.404491,0.358717,0.667956,0.404491,0.358717,3.30457,3.33751,69.1596,69.894,71.0454,73.0974,73.4844,74.3636,74.4082,77.6964,78.192,81.9459,83.4916,84.6241,84.647,86.0725,87.2569,88.7687,89.2782,89.383,96.6874,102.733,107.84,110.166,117.448,117.844,119.439,130.733,154.034,159.9,166.251,175.937,198.072,220.731
