# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.376193
# Diagonal elements of inverse mass matrix:
# 0.00179757, 0.0246724
-9.06052,0.969182,0.376193,1,3,0,10.6326,0.689904,0.314696,0.393879,0.689904,0.314696,0.393879,2.93674,2.9813,70.7939,71.3565,72.241,73.8256,74.1256,74.8088,74.8435,77.4179,77.8085,80.7897,82.0286,82.9404,82.9589,84.1116,85.0732,86.306,86.7227,86.8085,92.8498,97.932,102.273,104.263,110.538,110.881,112.264,122.124,142.729,147.955,153.625,162.295,182.179,202.606
-8.86734,0.99633,0.376193,2,7,0,9.20387,0.692882,0.352067,0.379565,0.692882,0.352067,0.379565,3.09509,3.13447,71.3595,72.0048,73.0183,74.8304,75.173,75.9525,75.9921,78.9208,79.364,82.7364,84.1325,85.1582,85.1789,86.4731,87.551,88.9302,89.3958,89.4917,96.2088,101.819,106.586,108.765,115.612,115.986,117.49,128.183,150.391,156.004,162.087,171.376,192.643,214.453
-8.86913,0.965704,0.376193,2,3,0,9.222,0.689632,0.356891,0.377685,0.689632,0.356891,0.377685,3.11496,3.1537,71.059,71.7118,72.7368,74.569,74.9154,75.7033,75.7434,78.7025,79.1502,82.555,83.9639,84.9987,85.0196,86.325,87.4119,88.8024,89.2718,89.3684,96.1353,101.782,106.577,108.768,115.65,116.026,117.538,128.278,150.569,156.2,162.303,171.621,192.949,214.817
-8.69403,0.99974,0.376193,2,7,0,8.98622,0.693294,0.329161,0.38839,0.693294,0.329161,0.38839,2.99901,3.0415,71.2413,71.8375,72.7744,74.4517,74.7691,75.4916,75.5284,78.2481,78.6604,81.8032,83.1074,84.0666,84.086,85.2977,86.3079,87.602,88.0392,88.1292,94.4556,99.762,104.285,106.357,112.878,113.234,114.67,124.891,146.197,151.592,157.444,166.386,186.881,207.919
-9.2504,0.890002,0.376193,2,7,0,9.7084,0.708138,0.338494,0.384814,0.708138,0.338494,0.384814,3.03852,3.07972,72.8331,73.4625,74.4515,76.221,76.5557,77.3176,77.3563,80.2219,80.656,83.9627,85.3336,86.3413,86.3617,87.6342,88.6947,90.0525,90.5111,90.6055,97.233,102.782,107.506,109.668,116.467,116.839,118.335,128.977,151.124,156.728,162.804,172.086,193.35,215.169
-10.0348,0.762551,0.376193,2,3,0,12.0101,0.72903,0.314052,0.394122,0.72903,0.314052,0.394122,2.93393,2.9786,74.8042,75.3973,76.3298,78.0002,78.3165,79.0368,79.0734,81.7876,82.1994,85.3428,86.6492,87.6107,87.6302,88.8457,89.8599,91.1599,91.5994,91.6899,98.0618,103.423,108.002,110.102,116.722,117.084,118.544,128.948,150.693,156.208,162.193,171.343,192.331,213.893
-9.4985,0.961028,0.376193,2,7,0,10.8939,0.680444,0.319324,0.39213,0.680444,0.319324,0.39213,2.9568,3.0007,69.8543,70.4188,71.3063,72.8957,73.1966,73.8817,73.9165,76.4972,76.8887,79.8752,81.1157,82.0286,82.0471,83.2007,84.1631,85.3963,85.8132,85.899,91.9382,97.0137,101.346,103.332,109.588,109.931,111.309,121.133,141.646,146.846,152.487,161.111,180.885,201.194
-11.1596,0.900313,0.376193,2,3,0,11.3235,0.69787,0.390883,0.364219,0.69787,0.390883,0.364219,3.25149,3.28601,72.1555,72.892,74.047,76.1075,76.4964,77.3802,77.4251,80.7347,81.2341,85.021,86.5824,87.7273,87.7504,89.1924,90.3912,91.9223,92.4386,92.5448,99.9573,106.106,111.307,113.678,121.107,121.512,123.141,134.682,158.529,164.538,171.046,180.973,203.669,226.912
-9.16708,1,0.376193,2,3,0,10.7265,0.692275,0.363876,0.37495,0.692275,0.363876,0.37495,3.14349,3.18134,71.3812,72.0517,73.1045,74.9856,75.3411,76.1496,76.1907,79.2254,79.6842,83.1721,84.6143,85.6732,85.6946,87.03,88.1415,89.563,90.0427,90.1414,97.0514,102.81,107.696,109.928,116.933,117.316,118.854,129.776,152.421,158.138,164.334,173.791,195.433,217.616
-9.79446,0.948715,0.376193,2,3,0,9.92587,0.700026,0.3657,0.374233,0.700026,0.3657,0.374233,3.1509,3.18851,72.1936,72.8757,73.9465,75.8598,76.2213,77.0435,77.0853,80.1709,80.6374,84.1828,85.6485,86.7245,86.7463,88.1032,89.2325,90.6766,91.164,91.2642,98.2824,104.129,109.089,111.354,118.463,118.851,120.412,131.493,154.462,160.261,166.543,176.134,198.079,220.571
-9.0489,0.825,0.376193,1,3,0,11.091,0.682128,0.329186,0.388381,0.682128,0.329186,0.388381,2.99912,3.04161,70.0942,70.6808,71.6027,73.253,73.5654,74.2764,74.3125,76.9887,77.3943,80.4868,81.77,82.7139,82.733,83.9252,84.9193,86.1926,86.6228,86.7114,92.9363,98.1576,102.608,104.647,111.063,111.414,112.826,122.883,143.847,149.156,154.914,163.712,183.877,204.578
-9.04091,1,0.376193,2,3,0,9.16571,0.679959,0.334025,0.38653,0.679959,0.334025,0.38653,3.01967,3.06148,69.9042,70.4992,71.434,73.1072,73.4238,74.1443,74.181,76.8922,77.3031,80.4338,81.7323,82.6871,82.7065,83.9123,84.9174,86.2047,86.6395,86.729,93.0169,98.2861,102.775,104.829,111.295,111.648,113.071,123.197,144.286,149.625,155.414,164.259,184.525,205.325
-8.70716,0.999341,0.376193,3,11,0,9.05352,0.695535,0.337016,0.385382,0.695535,0.337016,0.385382,3.0323,3.0737,71.5265,72.1415,73.1079,74.8371,75.1643,75.9088,75.9467,78.7476,79.172,82.4048,83.7453,84.7308,84.7507,85.9952,87.0323,88.3603,88.8089,88.9013,95.3852,100.816,105.44,107.556,114.213,114.577,116.041,126.463,148.156,153.646,159.599,168.693,189.527,210.907
-9.53056,0.897127,0.376193,2,3,0,9.5864,0.687034,0.307092,0.396739,0.687034,0.307092,0.396739,2.90347,2.94916,70.4482,70.9926,71.8486,73.3826,73.6732,74.3348,74.3685,76.8631,77.2419,80.1339,81.3366,82.2222,82.2402,83.36,84.2946,85.4932,85.8984,85.9819,91.8632,96.8185,101.056,103,109.133,109.469,110.822,120.474,140.674,145.802,151.367,159.878,179.407,199.478
