# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.41364
# Diagonal elements of inverse mass matrix:
# 0.00013724, 0.0087842
-9.99428,1,0.41364,2,3,0,10.5272,0.718337,0.269531,0.718337,0.269531,0.980263,2.39032,11.3131,12.451,12.5164,12.7407,15.963,25.0336,25.0756,25.4158,25.8739,35.1702,44.7041,54.6453,60.115
-9.78629,0.977412,0.41364,2,3,0,10.168,0.716297,0.261932,0.716297,0.261932,0.984198,2.40296,11.4169,12.5684,12.6346,12.8616,16.1238,25.3114,25.3539,25.6986,26.1628,35.5829,45.2456,55.3225,60.8672
-9.46571,0.987596,0.41364,3,7,0,9.90193,0.711123,0.289399,0.711123,0.289399,0.987224,2.39947,11.2474,12.371,12.4355,12.6569,15.8357,24.7724,24.8137,25.1487,25.5998,34.7496,44.129,53.9063,59.2849
-9.73215,0.946269,0.41364,2,3,0,10.0453,0.713762,0.286475,0.713762,0.286475,0.984009,2.39279,11.2316,12.3547,12.4191,12.6405,15.8183,24.7539,24.7953,25.1302,25.5813,34.7313,44.1113,53.8898,59.2692
-9.8171,0.983575,0.41364,2,7,0,10.129,0.705917,0.280752,0.705917,0.280752,0.995808,2.42374,11.4081,12.5511,12.6167,12.8419,16.0768,25.176,25.2182,25.5593,26.0187,35.3389,44.8947,54.8572,60.3381
-9.52244,1,0.41364,1,1,0,9.75784,0.707046,0.283283,0.707046,0.283283,0.993837,2.41794,11.3669,12.5048,12.5701,12.7944,16.0144,25.0705,25.1124,25.452,25.9091,35.184,44.6927,54.6058,60.0594
-9.65612,0.981875,0.41364,2,3,0,9.7505,0.709215,0.300433,0.709215,0.300433,0.988234,2.39768,11.1818,12.2949,12.3587,12.578,15.7255,24.5685,24.6094,24.9408,25.387,34.4363,43.7104,53.3766,58.6937
-9.65172,0.999401,0.41364,2,7,0,9.69291,0.706807,0.280946,0.706807,0.280946,0.994525,2.42054,11.392,12.5332,12.5987,12.8237,16.0538,25.1393,25.1814,25.522,25.9807,35.2869,44.8282,54.7755,60.2481
-9.98971,0.938294,0.41364,2,3,0,10.3669,0.709109,0.306601,0.709109,0.306601,0.987466,2.39348,11.1313,12.2371,12.3006,12.5184,15.6449,24.4257,24.4663,24.7953,25.2382,34.2215,43.4267,53.0204,58.2973
-9.59639,0.996702,0.41364,3,11,0,10.1759,0.711291,0.270546,0.711291,0.270546,0.98982,2.41322,11.4157,12.5635,12.6294,12.8557,16.1059,25.2543,25.2966,25.6398,26.1018,35.4773,45.0922,55.1178,60.6338
-10.8388,0.871233,0.41364,2,7,0,11.946,0.709703,0.315202,0.709703,0.315202,0.98537,2.38518,11.0507,12.1457,12.2085,12.4242,15.5188,24.2063,24.2465,24.5719,25.0101,33.8947,42.9973,52.483,57.7002
-11.0144,0.998023,0.41364,3,7,0,11.4662,0.707886,0.322171,0.707886,0.322171,0.986872,2.38624,11.0225,12.1124,12.1749,12.3896,15.4691,24.1112,24.1512,24.4749,24.9106,33.7463,42.7976,52.2291,57.4163
-10.8551,0.998337,0.41364,2,7,0,11.3739,0.705662,0.26898,0.705662,0.26898,0.997955,2.43368,11.5215,12.6806,12.7472,12.9757,16.2581,25.4982,25.541,25.8876,26.3543,35.8246,45.537,55.6646,61.2369
-9.5078,0.990301,0.41364,1,3,0,10.6948,0.709065,0.277614,0.709065,0.277614,0.99186,2.41537,11.386,12.528,12.5936,12.8187,16.0513,25.1459,25.188,25.5291,25.9883,35.3052,44.8584,54.8187,60.2985
-9.44543,0.998961,0.41364,2,7,0,9.56313,0.709513,0.294029,0.709513,0.294029,0.988772,2.40145,11.2324,12.3527,12.417,12.6378,15.8069,24.7138,24.755,25.0888,25.5383,34.6558,44.0009,53.7419,59.1004
-9.33529,0.878266,0.41364,2,3,0,10.4213,0.708146,0.290015,0.708146,0.290015,0.991282,2.4091,11.2892,12.4168,12.4815,12.7037,15.8936,24.8611,24.9026,25.2387,25.6913,34.8725,44.2838,54.0944,59.4913
-9.34855,0.99962,0.41364,3,11,0,9.3662,0.710597,0.28226,0.710597,0.28226,0.989024,2.40663,11.3194,12.4529,12.5179,12.7413,15.9491,24.9714,25.0132,25.3515,25.807,35.0477,44.5217,54.3986,59.8324
-9.42954,0.896823,0.41364,2,3,0,10.1365,0.711676,0.285649,0.711676,0.285649,0.987017,2.40043,11.2719,12.3993,12.464,12.6862,15.8764,24.8473,24.8888,25.2252,25.678,34.8645,44.2822,54.1,59.5011
-10.9322,0.722727,0.41364,2,3,0,12.4821,0.708062,0.261552,0.708062,0.261552,0.995702,2.4312,11.5533,12.7188,12.7857,13.0155,16.3172,25.6163,25.6594,26.0083,26.4781,36.0128,45.7932,55.9927,61.605
-9.60154,0.937528,0.41364,2,7,0,11.8755,0.715267,0.269633,0.715267,0.269633,0.984455,2.4005,11.3607,12.5034,12.569,12.7942,16.03,25.1383,25.1805,25.5221,25.9821,35.317,44.8904,54.8729,60.3653
-9.47114,0.991401,0.41364,4,15,0,10.575,0.704471,0.300532,0.704471,0.300532,0.994874,2.41376,11.2563,12.3767,12.441,12.6617,15.8301,24.7316,24.7728,25.1063,25.5555,34.6647,44.0001,53.7302,59.0824
-9.51491,0.981743,0.41364,3,11,0,11.153,0.713905,0.271326,0.713905,0.271326,0.986079,2.40378,11.3666,12.5092,12.5748,12.8,16.0352,25.141,25.1832,25.5247,25.9845,35.316,44.8854,54.8635,60.3534
-9.9212,0.945789,0.41364,3,11,0,12.7855,0.703352,0.318213,0.703352,0.318213,0.993821,2.40452,11.1258,12.2272,12.2903,12.5073,15.6198,24.3561,24.3965,24.7237,25.1643,34.0977,43.2498,52.7867,58.032
-10.8323,0.858305,0.41364,2,7,0,13.2054,0.69457,0.321424,0.69457,0.321424,1.0059,2.43254,11.24,12.3516,12.4154,12.6343,15.7754,24.5905,24.6313,24.9614,25.4059,34.4188,43.6517,53.2724,58.5638
-12.2569,0.887166,0.41364,2,3,0,12.3692,0.701647,0.349296,0.701647,0.349296,0.991657,2.38798,10.9085,11.9789,12.0403,12.2511,15.2729,23.7425,23.7816,24.0986,24.5254,33.176,42.0336,51.2604,56.3342
-11.5755,0.727378,0.41364,1,3,0,16.1574,0.693592,0.312196,0.693592,0.312196,1.00871,2.44283,11.3327,12.4566,12.5211,12.7425,15.9193,24.839,24.8803,25.2145,25.6643,34.7876,44.1352,53.8765,59.2345
