# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.459244
# Diagonal elements of inverse mass matrix:
# 0.00013916, 0.00929714
-9.66045,0.998654,0.459244,2,7,0,10.7082,0.71,0.298229,0.71,0.298229,0.987468,2.39667,11.1883,12.3028,12.3667,12.5863,15.7382,24.5944,24.6354,24.9673,25.4142,34.478,43.7674,53.4498,58.7759
-9.49959,0.931521,0.459244,2,3,0,10.2924,0.712416,0.285429,0.712416,0.285429,0.986024,2.3981,11.2621,12.3887,12.4533,12.6753,15.8631,24.827,24.8685,25.2046,25.6571,34.8366,44.2472,54.0577,59.4547
-9.4363,0.978081,0.459244,2,3,0,9.67484,0.709008,0.279937,0.709008,0.279937,0.991589,2.41379,11.3657,12.5048,12.5702,12.7947,16.0186,25.0874,25.1294,25.4694,25.9273,35.2167,44.7411,54.671,60.134
-9.84185,0.957882,0.459244,2,7,0,10.1174,0.707987,0.307267,0.707987,0.307267,0.988933,2.39679,11.1433,12.2501,12.3136,12.5317,15.6608,24.4487,24.4894,24.8186,25.2619,34.2523,43.4646,53.0656,58.3465
-10.093,0.99513,0.459244,2,7,0,10.6941,0.713958,0.257572,0.713958,0.257572,0.988082,2.41422,11.4962,12.6578,12.7244,12.9534,16.2444,25.5161,25.559,25.9069,26.3754,35.8841,45.6387,55.8122,61.4103
-10.4636,0.921488,0.459244,1,1,0,10.5069,0.713666,0.253578,0.713666,0.253578,0.989093,2.41832,11.54,12.7077,12.7747,13.005,16.3142,25.6401,25.6833,26.0333,26.5045,36.0711,45.8862,56.1233,61.7566
-10.4218,1,0.459244,1,1,0,10.6173,0.71398,0.253502,0.71398,0.253502,0.988669,2.41732,11.5356,12.7029,12.77,13.0001,16.3082,25.631,25.6742,26.024,26.4952,36.0586,45.8704,56.1042,61.7357
-9.51065,0.997565,0.459244,2,7,0,10.8321,0.713719,0.271247,0.713719,0.271247,0.986347,2.40447,11.3703,12.5133,12.5789,12.8042,16.0406,25.1496,25.1918,25.5335,25.9935,35.3283,44.9013,54.883,60.375
-10.5586,0.76181,0.459244,1,3,0,10.8169,0.709147,0.262184,0.709147,0.262184,0.994082,2.42699,11.5295,12.6924,12.7591,12.9884,16.2824,25.5595,25.6025,25.9506,26.4192,35.931,45.6877,55.8625,61.4611
-9.9604,0.997636,0.459244,2,7,0,11.057,0.709324,0.305542,0.709324,0.305542,0.987324,2.39354,11.1368,12.2436,12.3071,12.5251,15.6542,24.4432,24.4838,24.8131,25.2565,34.2485,43.4629,53.0662,58.3485
-9.54876,1,0.459244,1,3,0,10.1117,0.705627,0.305747,0.705627,0.305747,0.992466,2.40593,11.1934,12.3057,12.3695,12.5887,15.7335,24.5664,24.6072,24.9382,25.3838,34.4207,43.681,53.3322,58.6408
-9.5632,0.981155,0.459244,2,7,0,10.3925,0.710304,0.273286,0.710304,0.273286,0.990781,2.41447,11.406,12.5518,12.6175,12.8434,16.0872,25.2161,25.2584,25.6008,26.0618,35.4159,45.0082,55.0099,60.5127
-10.2824,0.99431,0.459244,3,7,0,10.5193,0.719153,0.25105,0.719153,0.25105,0.981928,2.40184,11.4767,12.6391,12.7059,12.9351,16.2299,25.5168,25.5598,25.9084,26.3777,35.9057,45.6819,55.879,61.4904
-9.3402,0.980407,0.459244,2,7,0,11.8906,0.708053,0.288581,0.708053,0.288581,0.991626,2.41049,11.3034,12.4329,12.4977,12.7203,15.9159,24.9003,24.9419,25.2787,25.7321,34.9312,44.3611,54.1913,59.5991
-9.38295,0.993116,0.459244,2,7,0,9.42737,0.70661,0.29673,0.70661,0.29673,0.99243,2.40929,11.255,12.3766,12.441,12.662,15.8343,24.749,24.7902,25.1243,25.5742,34.6984,44.0499,53.7973,59.1592
-9.48154,0.957304,0.459244,2,3,0,9.70085,0.704307,0.299765,0.704307,0.299765,0.995221,2.41489,11.2655,12.3871,12.4515,12.6725,15.8443,24.7559,24.7972,25.1311,25.5808,34.7006,44.0471,53.7889,59.1476
-11.3001,0.750933,0.459244,3,9,0,12.8166,0.692136,0.343723,0.692136,0.343723,1.00611,2.4248,11.1013,12.1923,12.2548,12.4697,15.5501,24.1859,24.2258,24.5491,24.9843,33.8065,42.8405,52.2518,57.4271
-11.0006,0.941747,0.459244,3,11,0,11.8058,0.724272,0.255466,0.724272,0.255466,0.974326,2.38145,11.3527,12.5007,12.5666,12.7929,16.0458,25.2115,25.2539,25.5979,26.061,35.4622,45.1071,55.1665,60.7019
-12.2544,0.860495,0.459244,2,3,0,12.3028,0.718572,0.23163,0.718572,0.23163,0.985676,2.41912,11.6838,12.8766,12.9451,13.1804,16.5651,26.1206,26.165,26.5239,27.0072,36.8233,46.9008,57.4159,63.2035
-10.5549,1,0.459244,3,7,0,12.0898,0.722248,0.251161,0.722248,0.251161,0.977703,2.39146,11.4264,12.5837,12.6502,12.8784,16.1585,25.4042,25.4471,25.7941,26.2613,35.747,45.4797,55.6314,61.2178
-10.624,0.997826,0.459244,3,7,0,10.7897,0.722232,0.247946,0.722232,0.247946,0.978209,2.39401,11.4584,12.6204,12.6871,12.9162,16.2103,25.4975,25.5405,25.8891,26.3585,35.8887,45.6679,55.8686,61.4822
-10.392,0.929469,0.459244,1,3,0,11.3368,0.72108,0.262657,0.72108,0.262657,0.977562,2.38647,11.3343,12.4772,12.5428,12.7682,16.0058,25.1236,25.1659,25.508,25.9686,35.3169,44.9057,54.9053,60.4075
-10.4388,0.473222,0.459244,2,7,0,18.3216,0.696378,0.328483,0.696378,0.328483,1.00224,2.42105,11.1535,12.2543,12.3175,12.5343,15.6441,24.3682,24.4085,24.7352,25.1751,34.0925,43.2264,52.7434,57.9773
-10.3602,0.997366,0.459244,2,3,0,10.467,0.697681,0.330165,0.697681,0.330165,1.00012,2.41531,11.1193,12.2162,12.2791,12.4951,15.5936,24.2856,24.3258,24.6512,25.0894,33.9733,43.0727,52.5534,57.7674
-9.76528,0.953363,0.459244,3,7,0,10.7081,0.707305,0.30758,0.707305,0.30758,0.98984,2.39887,11.1515,12.259,12.3225,12.5407,15.6717,24.4649,24.5056,24.8351,25.2786,34.2742,43.4919,53.0985,58.3825
-11.6614,0.96207,0.459244,3,11,0,12.4273,0.727015,0.237155,0.727015,0.237155,0.973396,2.38668,11.4911,12.6616,12.7288,12.9597,16.2797,25.6482,25.6917,26.0435,26.5172,36.1376,46.0125,56.3151,61.9854
-10.8731,0.873249,0.459244,3,11,0,12.852,0.697085,0.341466,0.697085,0.341466,0.999299,2.4092,11.0399,12.1255,12.1878,12.4016,15.4671,24.0619,24.1017,24.4234,24.8566,33.6376,42.6299,51.9978,57.1494
-11.7411,0.799265,0.459244,4,15,0,12.9354,0.727695,0.244161,0.727695,0.244161,0.971433,2.37898,11.4098,12.5686,12.6352,12.8637,16.1494,25.416,25.4589,25.8068,26.2753,35.7865,45.5473,55.7296,61.3333
-12.3307,0.952588,0.459244,2,3,0,12.5196,0.722921,0.226614,0.722921,0.226614,0.980512,2.40858,11.6665,12.8602,12.9287,13.1642,16.5522,26.1217,26.1661,26.5256,27.0097,36.8436,46.9409,57.4778,63.2777
-13.3438,0.805273,0.459244,3,9,0,16.413,0.701878,0.357181,0.701878,0.357181,0.990183,2.38164,10.8461,11.9082,11.9691,12.1782,15.1758,23.5745,23.6133,23.9277,24.3508,32.9268,41.7069,50.8523,55.881
-11.185,1,0.459244,1,1,0,12.7653,0.699065,0.343798,0.699065,0.343798,0.996126,2.40071,10.9907,12.0708,12.1327,12.3454,15.3951,23.9446,23.9841,24.3042,24.7351,33.4691,42.4128,51.73,56.8536
-9.56497,0.737389,0.459244,2,7,0,13.5505,0.708714,0.277119,0.708714,0.277119,0.992426,2.41695,11.3962,12.5395,12.6051,12.8304,16.0665,25.1714,25.2135,25.555,26.0147,35.3424,44.9066,54.8785,60.3647
-11.6367,0.637014,0.459244,2,3,0,12.0134,0.711976,0.315554,0.711976,0.315554,0.982173,2.37732,11.0126,12.1036,12.1662,12.3812,15.4647,24.1211,24.1611,24.4854,24.9219,33.7745,42.8443,52.2957,57.4941
-10.0691,1,0.459244,2,3,0,11.2856,0.708572,0.309266,0.708572,0.309266,0.987819,2.39334,11.1174,12.221,12.2843,12.5017,15.6213,24.3818,24.4223,24.7505,25.1924,34.1539,43.3363,52.9058,58.1694
-9.74863,0.862749,0.459244,2,7,0,11.3141,0.705801,0.28242,0.705801,0.28242,0.99572,2.42287,11.3948,12.5358,12.6013,12.8262,16.0552,25.137,25.179,25.5195,25.978,35.2796,44.8159,54.7579,60.2274
-9.5231,0.923193,0.459244,2,3,0,10.3568,0.70438,0.295022,0.70438,0.295022,0.995829,2.4182,11.3055,12.4328,12.4975,12.7196,15.9082,24.8693,24.9108,25.2467,25.6989,34.8714,44.2728,54.0723,59.463
-9.78022,0.969577,0.459244,2,7,0,10.5279,0.717104,0.267994,0.717104,0.267994,0.98218,2.3956,11.3469,12.4888,12.5544,12.7795,16.0135,25.1178,25.16,25.5015,25.9613,35.293,44.8635,54.8432,60.3341
-9.39541,0.976589,0.459244,2,7,0,10.205,0.706605,0.290212,0.706605,0.290212,0.993414,2.4142,11.3121,12.4419,12.5067,12.7293,15.9255,24.9104,24.952,25.2888,25.7422,34.9412,44.3706,54.2,59.6073
-9.59392,0.990099,0.459244,2,7,0,10.2519,0.715208,0.272533,0.715208,0.272533,0.984101,2.39848,11.3347,12.4737,12.539,12.7635,15.9881,25.0631,25.1052,25.4455,25.9038,35.2032,44.7395,54.6829,60.1536
-9.7448,0.800626,0.459244,3,11,0,11.8219,0.7015,0.31288,0.7015,0.31288,0.997239,2.41479,11.1993,12.3097,12.3734,12.5921,15.7308,24.5431,24.5839,24.914,25.3585,34.3716,43.6062,53.2298,58.523
-9.67886,0.988058,0.459244,2,3,0,9.8807,0.702008,0.310083,0.702008,0.310083,0.996934,2.41511,11.2145,12.3274,12.3913,12.6105,15.7565,24.5906,24.6315,24.9624,25.408,34.4444,43.7035,53.3529,58.6603
-10.9501,0.815991,0.459244,3,11,0,11.7286,0.713463,0.249323,0.713463,0.249323,0.990022,2.42235,11.5854,12.7597,12.8271,13.0586,16.3872,25.7705,25.814,26.1662,26.6405,36.2685,46.1477,56.4525,62.1234
-11.4469,0.866102,0.459244,1,1,0,11.6768,0.712087,0.24813,0.712087,0.24813,0.992117,2.42797,11.6197,12.798,12.8657,13.098,16.4382,25.8553,25.8989,26.2524,26.7284,36.3917,46.3075,56.6507,62.3427
-9.81409,0.850685,0.459244,2,7,0,12.9637,0.715818,0.27912,0.715818,0.27912,0.982278,2.39145,11.265,12.3943,12.4591,12.6817,15.878,24.8698,24.9114,25.2486,25.7025,34.9134,44.3575,54.2037,59.6207
-9.64754,0.989282,0.459244,3,7,0,11.2408,0.715641,0.267313,0.715641,0.267313,0.984289,2.40102,11.3764,12.5217,12.5874,12.8132,16.0565,25.1875,25.2298,25.5724,26.0335,35.393,44.992,55.0016,60.5091
-10.6465,0.979343,0.459244,3,11,0,10.8639,0.695369,0.333474,0.695369,0.333474,1.00295,2.42092,11.1299,12.2268,12.2897,12.5057,15.6039,24.2936,24.3338,24.6591,25.0972,33.9777,43.0731,52.5493,57.7606
-10.3565,0.982587,0.459244,2,3,0,10.7437,0.698714,0.33089,0.698714,0.33089,0.998533,2.41121,11.0971,12.1915,12.2543,12.4699,15.5615,24.2338,24.2739,24.5986,25.0358,33.8993,42.9778,52.4366,57.6385
-9.92796,0.951985,0.459244,3,7,0,10.7623,0.702461,0.292406,0.702461,0.292406,0.998943,2.42678,11.3594,12.493,12.5581,12.7815,15.9883,25.0023,25.044,25.3819,25.8368,35.0644,44.5229,54.3823,59.8059
-9.54794,0.943404,0.459244,2,3,0,10.6158,0.708706,0.299319,0.708706,0.299319,0.98911,2.40023,11.1994,12.3146,12.3786,12.5983,15.752,24.613,24.654,24.9861,25.4332,34.5014,43.795,53.4818,58.8102
-9.88878,0.85539,0.459244,2,3,0,10.68,0.708503,0.30669,0.708503,0.30669,0.988297,2.39546,11.1401,12.2467,12.3102,12.5283,15.657,24.4444,24.4851,24.8143,25.2576,34.2476,43.4597,53.0605,58.3414
