# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.44766
# Diagonal elements of inverse mass matrix:
# 0.000143152, 0.00997403
-9.48438,0.99008,0.44766,2,7,0,9.87474,0.710449,0.275076,0.710449,0.275076,0.99031,2.4126,11.3872,12.5303,12.5959,12.8212,16.0574,25.1636,25.2058,25.5473,26.0071,35.3371,44.9043,54.8794,60.3675
-9.34295,0.999875,0.44766,3,11,0,9.48537,0.707976,0.291992,0.707976,0.291992,0.991224,2.40819,11.2746,12.3999,12.4645,12.6862,15.8696,24.8178,24.8592,25.1946,25.6462,34.8068,44.1965,53.9844,59.3687
-10.5306,0.728122,0.44766,2,3,0,10.9572,0.70124,0.287951,0.70124,0.287951,1.00136,2.43439,11.4189,12.5601,12.6256,12.8505,16.0796,25.1582,25.2003,25.5406,25.9988,35.2947,44.824,54.7579,60.2227
-9.66344,0.937823,0.44766,1,3,0,11.0163,0.704841,0.31018,0.704841,0.31018,0.992914,2.40533,11.1686,12.277,12.3405,12.5589,15.6919,24.4895,24.5302,24.8598,25.3036,34.3027,43.5235,53.1329,58.4184
-9.5621,0.956668,0.44766,3,7,0,9.95047,0.703299,0.300834,0.703299,0.300834,0.996487,2.41755,11.2724,12.3943,12.4587,12.6798,15.8523,24.7655,24.8067,25.1407,25.5904,34.7114,44.0589,53.8015,59.1606
-9.44669,0.998607,0.44766,2,7,0,9.88102,0.712811,0.280612,0.712811,0.280612,0.986199,2.40041,11.299,12.4311,12.4961,12.7192,15.9234,24.9362,24.9779,25.3158,25.7708,35.0026,44.4677,54.3357,59.7646
-9.95074,0.914644,0.44766,2,7,0,10.1863,0.705968,0.278402,0.705968,0.278402,0.996092,2.42536,11.4287,12.5747,12.6405,12.8664,16.1101,25.2355,25.2778,25.62,26.0807,35.4289,45.0139,55.0072,60.5051
-10.0124,1,0.44766,2,3,0,10.1895,0.71589,0.283289,0.71589,0.283289,0.981558,2.38807,11.2265,12.3503,12.4148,12.6362,15.8165,24.7606,24.8021,25.1374,25.5889,34.7491,44.1403,53.9309,59.317
-11.2522,0.983586,0.44766,3,11,0,11.337,0.699156,0.344466,0.699156,0.344466,0.995899,2.39992,10.9841,12.0634,12.1253,12.3378,15.385,23.9275,23.967,24.2868,24.7173,33.4438,42.3799,51.689,56.8081
-10.5834,1,0.44766,1,1,0,11.0948,0.698364,0.335675,0.698364,0.335675,0.998325,2.40895,11.0648,12.1546,12.2171,12.4318,15.5097,24.1418,24.1817,24.5049,24.94,33.7608,42.7948,52.2067,57.3827
