# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.492734
# Diagonal elements of inverse mass matrix:
# 0.000150625, 0.00942581
-10.1866,0.731034,0.492734,3,7,0,13.0833,0.697916,0.315149,0.697916,0.315149,1.00202,2.42551,11.2378,12.3513,12.4152,12.6345,15.7816,24.6164,24.6572,24.9882,25.4338,34.469,43.7259,53.3725,58.6782
-9.68226,0.983986,0.492734,2,7,0,11.2649,0.716197,0.269368,0.716197,0.269368,0.983217,2.39759,11.3484,12.49,12.5555,12.7805,16.0131,25.1127,25.1549,25.4962,25.9558,35.2819,44.8463,54.8195,60.3068
-9.77326,0.983255,0.492734,1,1,0,9.78126,0.716988,0.26911,0.716988,0.26911,0.982171,2.39514,11.3383,12.479,12.5444,12.7693,15.9993,25.092,25.1341,25.4751,25.9344,35.2534,44.8107,54.7765,60.2598
-10.1315,0.852268,0.492734,2,7,0,11.1028,0.705353,0.277857,0.705353,0.277857,0.997043,2.4279,11.4437,12.5914,12.6573,12.8835,16.1322,25.2719,25.3142,25.6569,26.1184,35.4814,45.0817,55.0911,60.5979
-9.93553,1,0.492734,1,1,0,10.2612,0.70652,0.276858,0.70652,0.276858,0.995547,2.42465,11.434,12.5811,12.647,12.8731,16.1203,25.2564,25.2987,25.6413,26.1026,35.4625,45.0598,55.0661,60.5713
-9.62417,0.947922,0.492734,2,3,0,10.3186,0.715042,0.276669,0.715042,0.276669,0.98371,2.3959,11.2994,12.4331,12.4982,12.7217,15.9309,24.9603,25.0021,25.3407,25.7966,35.0472,44.5325,54.4221,59.8631
