               Mean        MCSE        StdDev            5%           50%           95%    N_Eff  N_Eff/s    R_hat
lp__  -2.696030e+01    0.009637  7.141230e-01 -2.838240e+01 -2.669660e+01 -2.646330e+01  5491.11  161.498  1.00046
Om     2.849240e-01    0.000208  1.259550e-02  2.646090e-01  2.848140e-01  3.056110e-01  3659.43  107.627  1.00047
Delta  2.367590e+01    0.000365  2.208530e-02  2.363970e+01  2.367600e+01  2.371160e+01  3661.23  107.680  1.00046
dLhat  2.818650e+00    0.000474  2.866870e-02  2.772460e+00  2.818340e+00  2.865820e+00  3662.78  107.726  1.00045
A      3.261930e+07  243.260000  1.471660e+04  3.259540e+07  3.261930e+07  3.264340e+07  3659.92  107.641  1.00047
B      1.370380e+06    5.108660  3.091520e+02  1.369880e+06  1.370380e+06  1.370890e+06  3662.09  107.705  1.00047
C      5.757160e+04         NaN  2.874150e-09  5.757160e+04  5.757160e+04  5.757160e+04      NaN      NaN      NaN
