# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SnIa_model
# start_datetime = 2023-07-24 10:28:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpkinjnhmz/iqxe1fbv.json
# init = /tmp/tmpkinjnhmz/_tnyecvh.json
# random
#   seed = 33388
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SnIa/SnIa-20230724112805.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,Delta,dLhat,A,B,C
# Adaptation terminated
# Step size = 0.895752
# Diagonal elements of inverse mass matrix:
# 0.00446886
-27.9145,0.694135,0.895752,1,3,0,28.4145,0.306323,23.7128,2.77095,3.26442e+07,1.3709e+06,57571.6
-26.4982,0.991123,0.895752,1,3,0,27.7881,0.287891,23.6814,2.81136,3.26229e+07,1.37045e+06,57571.6
-26.4866,0.991581,0.895752,1,3,0,26.5688,0.281618,23.6704,2.82564,3.26155e+07,1.3703e+06,57571.6
-26.7182,0.928898,0.895752,1,3,0,26.9134,0.293553,23.6912,2.79871,3.26295e+07,1.37059e+06,57571.6
-26.611,1,0.895752,1,1,0,26.7079,0.291388,23.6875,2.80352,3.26269e+07,1.37054e+06,57571.6
-26.611,0.822437,0.895752,1,3,0,27.4758,0.291388,23.6875,2.80352,3.26269e+07,1.37054e+06,57571.6
-26.5213,0.786719,0.895752,2,3,0,28.3391,0.2801,23.6677,2.82915,3.26138e+07,1.37026e+06,57571.6
-26.4706,0.99987,0.895752,1,3,0,26.5107,0.282731,23.6723,2.82309,3.26168e+07,1.37033e+06,57571.6
-26.8818,0.893415,0.895752,1,3,0,27.0877,0.29612,23.6956,2.79304,3.26324e+07,1.37066e+06,57571.6
-26.4672,0.996879,0.895752,1,3,0,26.8594,0.285833,23.6778,2.81602,3.26205e+07,1.3704e+06,57571.6
-26.5083,0.992528,0.895752,1,3,0,26.5099,0.288333,23.6822,2.81037,3.26234e+07,1.37047e+06,57571.6
-26.5083,0.907849,0.895752,1,3,0,26.9237,0.288333,23.6822,2.81037,3.26234e+07,1.37047e+06,57571.6
-26.6403,0.96566,0.895752,2,3,0,26.795,0.292041,23.6886,2.80206,3.26277e+07,1.37056e+06,57571.6
-26.6368,0.965789,0.895752,2,3,0,26.9891,0.291965,23.6885,2.80223,3.26276e+07,1.37055e+06,57571.6
-27.0727,0.902057,0.895752,1,1,0,27.0728,0.298549,23.6997,2.78772,3.26352e+07,1.37071e+06,57571.6
-27.9325,0.938379,0.895752,2,3,0,27.9544,0.30646,23.7131,2.77066,3.26443e+07,1.37091e+06,57571.6
-28.5322,0.866739,0.895752,1,1,0,28.7526,0.310652,23.72,2.76178,3.26491e+07,1.37101e+06,57571.6
-28.4431,1,0.895752,1,1,0,28.959,0.31007,23.7191,2.763,3.26485e+07,1.37099e+06,57571.6
-27.8311,1,0.895752,1,1,0,28.493,0.305675,23.7117,2.77233,3.26434e+07,1.37089e+06,57571.6
-28.734,0.806284,0.895752,1,1,0,28.8854,0.311927,23.7221,2.7591,3.26506e+07,1.37104e+06,57571.6
-26.7466,1,0.895752,2,3,0,28.2871,0.275011,23.6586,2.841,3.26078e+07,1.37014e+06,57571.6
-26.6839,1,0.895752,1,1,0,26.7692,0.276106,23.6606,2.83843,3.26091e+07,1.37016e+06,57571.6
-26.5501,0.859781,0.895752,2,3,0,27.8157,0.289788,23.6847,2.8071,3.26251e+07,1.3705e+06,57571.6
-26.6656,0.973129,0.895752,1,1,0,26.6693,0.292563,23.6895,2.8009,3.26283e+07,1.37057e+06,57571.6
-26.5914,0.930425,0.895752,2,3,0,27.2656,0.278058,23.6641,2.83388,3.26114e+07,1.37021e+06,57571.6
-26.6499,0.995513,0.895752,2,3,0,26.6677,0.276764,23.6618,2.83689,3.26098e+07,1.37018e+06,57571.6
-28.7499,0.704834,0.895752,2,3,0,29.7608,0.25811,23.6277,2.8818,3.25877e+07,1.36972e+06,57571.6
-27.2171,1,0.895752,1,1,0,28.4051,0.269166,23.6481,2.85486,3.26009e+07,1.36999e+06,57571.6
-27.2171,0.890583,0.895752,1,1,0,27.6847,0.269166,23.6481,2.85486,3.26009e+07,1.36999e+06,57571.6
-27.4161,0.955654,0.895752,1,1,0,27.543,0.267299,23.6446,2.85934,3.25986e+07,1.36995e+06,57571.6
-27.0378,0.846482,0.895752,1,3,0,29.0767,0.298136,23.699,2.78862,3.26348e+07,1.3707e+06,57571.6
-26.4794,0.996588,0.895752,1,3,0,26.9817,0.286862,23.6796,2.81369,3.26217e+07,1.37043e+06,57571.6
-26.6398,0.970182,0.895752,1,3,0,26.6482,0.292029,23.6886,2.80209,3.26277e+07,1.37056e+06,57571.6
-26.5312,0.971327,0.895752,1,3,0,26.8702,0.279756,23.6671,2.82994,3.26134e+07,1.37026e+06,57571.6
-26.6237,0.785776,0.895752,2,3,0,28.2672,0.291678,23.688,2.80287,3.26273e+07,1.37055e+06,57571.6
-26.6237,0.827772,0.895752,1,3,0,27.4677,0.291678,23.688,2.80287,3.26273e+07,1.37055e+06,57571.6
-26.79,0.838609,0.895752,2,3,0,27.9064,0.274325,23.6574,2.84261,3.2607e+07,1.37012e+06,57571.6
-26.522,0.999391,0.895752,1,3,0,26.7318,0.280075,23.6677,2.8292,3.26137e+07,1.37026e+06,57571.6
-27.8247,0.764969,0.895752,1,3,0,27.9841,0.264014,23.6386,2.86729,3.25947e+07,1.36986e+06,57571.6
-28.3876,0.881033,0.895752,1,1,0,28.5741,0.260239,23.6316,2.87654,3.25902e+07,1.36977e+06,57571.6
-26.4791,0.996507,0.895752,2,3,0,28.4043,0.282075,23.6712,2.8246,3.26161e+07,1.37031e+06,57571.6
-26.5074,0.925893,0.895752,2,3,0,26.9994,0.288294,23.6821,2.81045,3.26233e+07,1.37046e+06,57571.6
-26.4625,1,0.895752,2,3,0,26.5,0.283812,23.6743,2.82062,3.26181e+07,1.37035e+06,57571.6
-26.6556,0.956596,0.895752,1,3,0,26.6984,0.27665,23.6616,2.83716,3.26097e+07,1.37018e+06,57571.6
-27.4553,0.911086,0.895752,2,7,0,27.4553,0.302484,23.7064,2.77918,3.26398e+07,1.37081e+06,57571.6
-27.4918,0.720055,0.895752,2,7,0,30.0341,0.266642,23.6434,2.86092,3.25979e+07,1.36993e+06,57571.6
-28.161,0.859572,0.895752,1,1,0,28.2642,0.261679,23.6343,2.873,3.2592e+07,1.36981e+06,57571.6
-29.0676,0.81663,0.895752,1,1,0,29.2634,0.256384,23.6244,2.8861,3.25856e+07,1.36967e+06,57571.6
