# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 10:20:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpzlq1t49o/1ffs1emt.json
# init = /tmp/tmpzlq1t49o/f88cv5v3.json
# random
#   seed = 89435
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/BAO/BAO-20230724112018.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,theta.1,theta.2,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.179837
# Diagonal elements of inverse mass matrix:
# 0.000931251, 0.00396684
-2.86912,0.973801,0.179837,2,3,0,2.88041,0.655451,0.250514,147.78,299792,0.655451,0.250514,4239.71,1249.71,1653.27,2050.72,2136.77,2486.36,3966.17
-2.234,0.982307,0.179837,2,7,0,3.41094,0.657075,0.267368,147.78,299792,0.657075,0.267368,4153.83,1262.11,1666.52,2063.23,2148.92,2496.33,3955.46
-2.32944,0.980469,0.179837,2,3,0,2.4627,0.655877,0.261104,147.78,299792,0.655877,0.261104,4188.93,1258.2,1662.51,2059.69,2145.56,2493.94,3961.32
-1.74073,0.847104,0.179837,3,9,0,4.03819,0.674259,0.298332,147.78,299792,0.674259,0.298332,3924.25,1268.83,1669.84,2060.57,2144.64,2484.26,3892.73
-1.51547,0.920926,0.179837,3,11,0,2.92255,0.693953,0.329355,147.78,299792,0.693953,0.329355,3704.55,1270.58,1666.89,2050.68,2132.96,2464.32,3823.53
-1.75895,0.995876,0.179837,3,15,0,1.96792,0.672661,0.294661,147.78,299792,0.672661,0.294661,3947.58,1267.79,1669.1,2060.43,2144.67,2485.1,3898.91
-1.64566,0.994322,0.179837,2,3,0,1.8288,0.678049,0.29562,147.78,299792,0.678049,0.29562,3912.56,1263.47,1663.25,2053.02,2136.9,2475.89,3883.18
-2.36928,0.735932,0.179837,2,7,0,4.49777,0.685549,0.336486,147.78,299792,0.685549,0.336486,3726.27,1282.43,1681.27,2066.99,2149.61,2482.15,3843.08
-2.50761,0.978111,0.179837,1,1,0,2.60739,0.68469,0.336748,147.78,299792,0.68469,0.336748,3730.09,1283.37,1682.47,2068.4,2151.07,2483.79,3845.32
-2.79118,0.958823,0.179837,1,1,0,2.88942,0.684516,0.340198,147.78,299792,0.684516,0.340198,3719.75,1285.52,1684.72,2070.51,2153.12,2485.49,3844.1
-2.20242,1,0.179837,1,1,0,2.71308,0.68711,0.337002,147.78,299792,0.68711,0.337002,3716.12,1281.29,1679.69,2064.95,2147.47,2479.58,3838.52
-2.43962,1,0.179837,3,15,0,2.93275,0.716167,0.348404,147.78,299792,0.716167,0.348404,3530.16,1261.71,1652.22,2029.04,2109.66,2433.79,3755.36
-1.76416,1,0.179837,2,7,0,2.3574,0.710331,0.361043,147.78,299792,0.710331,0.361043,3521.23,1273.51,1665.7,2043.3,2123.97,2447.99,3764.21
-1.54019,0.995937,0.179837,3,15,0,2.13128,0.69227,0.318977,147.78,299792,0.69227,0.318977,3748.67,1265.8,1662.34,2047.12,2129.7,2462.63,3833.07
-1.53563,0.979406,0.179837,3,15,0,1.82112,0.696552,0.328591,147.78,299792,0.696552,0.328591,3693.26,1267.78,1663.36,2046.48,2128.62,2459.45,3816.86
-1.54003,0.999805,0.179837,2,3,0,1.54218,0.696756,0.328641,147.78,299792,0.696756,0.328641,3692.01,1267.63,1663.15,2046.21,2128.33,2459.12,3816.29
-1.75434,0.937296,0.179837,2,7,0,2.3147,0.703591,0.334141,147.78,299792,0.703591,0.334141,3638.26,1264.76,1658.49,2039.42,2121.04,2449.62,3795.32
