# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 10:20:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpzlq1t49o/1ffs1emt.json
# init = /tmp/tmpzlq1t49o/f88cv5v3.json
# random
#   seed = 89435
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/BAO/BAO-20230724112018.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,theta.1,theta.2,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.220681
# Diagonal elements of inverse mass matrix:
# 0.00055434, 0.00246005
-3.52018,0.996928,0.220681,3,7,0,3.75239,0.739814,0.405438,147.78,299792,0.739814,0.405438,3262.96,1269.01,1653.25,2020.48,2098.61,2411.34,3667.03
-4.40039,0.933783,0.220681,2,5,0,5.01058,0.712153,0.419772,147.78,299792,0.712153,0.419772,3353.2,1299.21,1690.54,2063.72,2143.02,2460.11,3729.03
-3.67744,1,0.220681,3,7,0,4.73538,0.721268,0.342211,147.78,299792,0.721268,0.342211,3524.02,1253.92,1642.99,2018.85,2099.31,2423,3745.27
-3.24453,1,0.220681,2,3,0,3.71408,0.719274,0.342919,147.78,299792,0.719274,0.342919,3531.61,1256.02,1645.63,2021.97,2102.52,2426.57,3750.04
-3.89753,0.912521,0.220681,1,1,0,3.96266,0.720248,0.337395,147.78,299792,0.720248,0.337395,3543.92,1252.1,1641.37,2017.76,2098.37,2422.82,3750.22
-1.75419,0.915158,0.220681,1,3,0,5.36952,0.710102,0.356344,147.78,299792,0.710102,0.356344,3536.31,1271.26,1663.48,2041.42,2122.21,2446.81,3767.17
-2.37031,0.919552,0.220681,2,3,0,2.79343,0.714308,0.344971,147.78,299792,0.714308,0.344971,3549.84,1261.45,1652.42,2029.93,2110.72,2435.65,3761.87
-1.80521,0.988298,0.220681,2,3,0,2.65558,0.711592,0.364509,147.78,299792,0.711592,0.364509,3504.86,1274.18,1666.04,2043.09,2123.63,2446.97,3759.17
-1.79409,0.98522,0.220681,3,11,0,2.42912,0.705796,0.361173,147.78,299792,0.705796,0.361173,3543.47,1277.61,1671.04,2049.82,2130.75,2455.78,3776.05
-2.26685,0.976344,0.220681,3,11,0,2.59227,0.716603,0.390469,147.78,299792,0.716603,0.390469,3408.04,1282.37,1672.84,2046.91,2126.6,2445.94,3732.89
-1.63562,0.995528,0.220681,3,15,0,2.46028,0.702851,0.349683,147.78,299792,0.702851,0.349683,3593.09,1274.13,1668.29,2048.54,2129.88,2456.87,3789.63
-1.53749,0.993336,0.220681,4,23,0,2.02612,0.692141,0.318929,147.78,299792,0.692141,0.318929,3749.53,1265.89,1662.47,2047.28,2129.87,2462.84,3833.44
-2.04744,0.9637,0.220681,3,15,0,2.2649,0.711742,0.346058,147.78,299792,0.711742,0.346058,3559.29,1264.29,1655.97,2034.08,2114.99,2440.37,3768.01
-2.81197,0.963219,0.220681,3,15,0,3.76434,0.719791,0.350873,147.78,299792,0.719791,0.350873,3504.96,1259.9,1649.46,2025.21,2105.57,2428.62,3744.81
-3.8031,0.881055,0.220681,3,7,0,5.56721,0.692161,0.368285,147.78,299792,0.692161,0.368285,3592.01,1293.63,1690.89,2072.88,2154.44,2481.8,3808.88
-1.68038,0.975358,0.220681,3,15,0,6.13354,0.693477,0.337665,147.78,299792,0.693477,0.337665,3679.85,1275.86,1672.47,2055.94,2138.06,2468.6,3820.78
-3.25878,0.991981,0.220681,4,19,0,4.27231,0.63885,0.247594,147.78,299792,0.63885,0.247594,4363.84,1263.05,1671.48,2074,2161.19,2515.53,4017.57
-4.15867,0.767437,0.220681,4,19,0,8.07822,0.732005,0.45543,147.78,299792,0.732005,0.45543,3179.38,1295.53,1680.87,2046.45,2123.91,2432.93,3660.24
-2.58003,0.99891,0.220681,3,11,0,4.6716,0.72773,0.40738,147.78,299792,0.72773,0.40738,3312.23,1280.19,1667.54,2037.63,2116.36,2431.43,3695.91
-2.73274,0.98904,0.220681,1,3,0,2.86431,0.727071,0.414512,147.78,299792,0.727071,0.414512,3297.36,1283.8,1671.23,2040.99,2119.6,2434.04,3693.86
-3.19942,0.920995,0.220681,3,7,0,4.69099,0.730661,0.376011,147.78,299792,0.730661,0.376011,3381.32,1263.35,1650.15,2021.6,2100.84,2418.73,3704.68
-3.64484,0.981829,0.220681,2,3,0,3.72979,0.731407,0.369732,147.78,299792,0.731407,0.369732,3395.23,1259.65,1646.26,2017.91,2097.25,2415.67,3705.99
-2.23812,0.949039,0.220681,1,3,0,4.54631,0.72299,0.382913,147.78,299792,0.72299,0.382913,3398.25,1273.25,1662.05,2034.99,2114.5,2433.28,3720.48
-3.48312,0.998175,0.220681,4,23,0,3.67379,0.6354,0.231839,147.78,299792,0.6354,0.231839,4466.13,1251.92,1659.8,2063.35,2150.96,2507.79,4032.69
-3.79544,0.914201,0.220681,1,1,0,3.79671,0.63587,0.227141,147.78,299792,0.63587,0.227141,4487.24,1246.91,1654.09,2057.42,2145.05,2502.19,4032.29
-7.82024,0.584001,0.220681,2,3,0,8.06622,0.635915,0.206105,147.78,299792,0.635915,0.206105,4602.46,1225.07,1629.32,2031.99,2119.78,2478.67,4035.32
-5.86381,1,0.220681,2,3,0,7.7035,0.63357,0.21165,147.78,299792,0.63357,0.21165,4587.88,1233.3,1639.12,2042.76,2130.68,2489.79,4042.13
-4.48381,1,0.220681,1,1,0,5.63747,0.6343,0.220025,147.78,299792,0.6343,0.220025,4536.35,1241.32,1648.08,2051.76,2139.57,2497.77,4038.6
-3.33058,0.973561,0.220681,2,7,0,5.66673,0.644239,0.261885,147.78,299792,0.644239,0.261885,4261.07,1269.99,1677.95,2078.64,2165.26,2516.65,3996.15
-3.7125,0.90646,0.220681,1,1,0,3.83498,0.644074,0.266075,147.78,299792,0.644074,0.266075,4243.41,1273.57,1681.89,2082.55,2169.11,2520.1,3995.11
-2.92058,1,0.220681,2,3,0,3.58256,0.648437,0.245067,147.78,299792,0.648437,0.245067,4311.35,1251.58,1656.79,2056.37,2142.95,2494.95,3988.95
-1.89267,0.999265,0.220681,3,11,0,3.19217,0.666642,0.282121,147.78,299792,0.666642,0.282121,4032.88,1264.41,1666.87,2060.38,2145.21,2488.55,3921.57
-2.07208,0.887012,0.220681,4,19,0,2.88582,0.718984,0.372045,147.78,299792,0.718984,0.372045,3447.35,1271.48,1661.37,2036.03,2115.99,2436.85,3736.25
-1.96599,0.987227,0.220681,1,3,0,2.24692,0.715558,0.376161,147.78,299792,0.715558,0.376161,3452.27,1276.5,1667.3,2042.59,2122.65,2443.81,3742.95
-1.75937,0.990173,0.220681,4,19,0,3.30689,0.675042,0.301261,147.78,299792,0.675042,0.301261,3908.69,1270.1,1671,2061.39,2145.35,2484.45,3889.2
-2.39848,0.978137,0.220681,3,11,0,3.70841,0.656291,0.258841,147.78,299792,0.656291,0.258841,4196.38,1255.94,1659.95,2057.05,2142.93,2491.44,3960.88
-2.31335,0.999647,0.220681,3,7,0,2.61743,0.656771,0.261501,147.78,299792,0.656771,0.261501,4181.47,1257.68,1661.75,2058.66,2144.46,2492.57,3958.51
-2.14432,0.999829,0.220681,4,19,0,2.6323,0.719856,0.386302,147.78,299792,0.719856,0.386302,3403.84,1277.58,1667.19,2040.71,2120.32,2439.4,3726.72
-2.16104,0.987227,0.220681,4,23,0,3.33023,0.664616,0.268866,147.78,299792,0.664616,0.268866,4100.3,1256.21,1658.45,2052.91,2138.1,2483.39,3932.71
-3.13812,0.852161,0.220681,4,19,0,3.65599,0.714204,0.405893,147.78,299792,0.714204,0.405893,3378.79,1291.44,1682.4,2056.04,2135.53,2453.69,3731.03
-4.88331,0.940529,0.220681,3,7,0,5.20544,0.706226,0.411828,147.78,299792,0.706226,0.411828,3401.57,1301.19,1694.26,2069.55,2149.35,2468.62,3748.62
-4.10669,1,0.220681,1,1,0,4.86961,0.707387,0.405543,147.78,299792,0.707387,0.405543,3412.26,1297.4,1690.23,2065.65,2145.53,2465.24,3748.9
-3.76969,0.958379,0.220681,2,3,0,5.46259,0.701832,0.389216,147.78,299792,0.701832,0.389216,3483.21,1295.02,1689.52,2067.54,2148.08,2470.86,3772.07
-1.9554,1,0.220681,2,3,0,3.59035,0.712312,0.374756,147.78,299792,0.712312,0.374756,3471.96,1278.68,1670.36,2046.57,2126.84,2448.88,3752.07
-2.46927,0.998215,0.220681,5,31,0,2.54115,0.724231,0.403122,147.78,299792,0.724231,0.403122,3339.09,1281.38,1669.7,2040.97,2119.97,2436.26,3706.91
-2.01719,0.966885,0.220681,4,19,0,3.18194,0.676422,0.283144,147.78,299792,0.676422,0.283144,3970.5,1256.11,1655.75,2046.41,2130.62,2471.39,3893.09
-2.62273,0.981593,0.220681,4,19,0,3.8201,0.729925,0.396606,147.78,299792,0.729925,0.396606,3329.79,1273.56,1660.45,2030.72,2109.57,2425.35,3695.99
-3.09782,0.971388,0.220681,4,19,0,3.6125,0.655745,0.283469,147.78,299792,0.655745,0.283469,4094.36,1275.73,1681.54,2078.22,2163.72,2509.71,3953
-5.00925,0.937375,0.220681,2,7,0,6.13142,0.650676,0.230493,147.78,299792,0.650676,0.230493,4368.06,1236.06,1639.04,2037.87,2124.48,2477.28,3986.05
-3.50888,0.998619,0.220681,3,7,0,5.26158,0.650452,0.277052,147.78,299792,0.650452,0.277052,4154.48,1276,1683.07,2081.53,2167.48,2515.57,3971.47
-2.05723,0.975593,0.220681,2,7,0,4.71243,0.661967,0.272002,147.78,299792,0.661967,0.272002,4103.37,1261.14,1664.38,2059.54,2144.84,2490.48,3939.26
