lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,Delta,A,B,C
# Adaptation terminated
# Step size = 0.932635
# Diagonal elements of inverse mass matrix:
# 0.00273033
-25.0168,0.976136,0.932635,1,3,0,25.6809,0.336303,0.385656,0.336303,0.385656,0.37621,1.00534,1.00745,1.01021,1.01281,1.01552,1.01877,1.02232,1.02571,1.02921,1.03315,1.03662,1.0417,1.04492,1.05074,1.0547,1.06044,1.06655,1.07243,1.07984,1.08662,1.09535,1.10363,1.11441,1.12337,1.13563,1.14863,1.16414,1.17983,1.19717,1.22121,1.24361,1.27271,1.30726,1.35444,1.403,1.48987,1.5853,1.72176,2.04677,2.53313,0.0139629,0.0193286,0.0262674,0.0326935,0.0392999,0.0470668,0.0553957,0.0632082,0.0710917,0.0798197,0.0873568,0.0981348,0.104844,0.116678,0.124563,0.135721,0.147286,0.158133,0.171421,0.183238,0.197996,0.211548,0.22859,0.242265,0.260327,0.278714,0.299729,0.320037,0.341494,0.369698,0.394529,0.424974,0.458778,0.501469,0.541878,0.606976,0.670102,0.748863,0.899405,1.06572,23.7026,3.26011e+07,1.37e+06,57571.6
-25.0168,0.841363,0.932635,1,3,0,26.0611,0.336303,0.385656,0.336303,0.385656,0.37621,1.00534,1.00745,1.01021,1.01281,1.01552,1.01877,1.02232,1.02571,1.02921,1.03315,1.03662,1.0417,1.04492,1.05074,1.0547,1.06044,1.06655,1.07243,1.07984,1.08662,1.09535,1.10363,1.11441,1.12337,1.13563,1.14863,1.16414,1.17983,1.19717,1.22121,1.24361,1.27271,1.30726,1.35444,1.403,1.48987,1.5853,1.72176,2.04677,2.53313,0.0139629,0.0193286,0.0262674,0.0326935,0.0392999,0.0470668,0.0553957,0.0632082,0.0710917,0.0798197,0.0873568,0.0981348,0.104844,0.116678,0.124563,0.135721,0.147286,0.158133,0.171421,0.183238,0.197996,0.211548,0.22859,0.242265,0.260327,0.278714,0.299729,0.320037,0.341494,0.369698,0.394529,0.424974,0.458778,0.501469,0.541878,0.606976,0.670102,0.748863,0.899405,1.06572,23.7026,3.26011e+07,1.37e+06,57571.6
-25.3586,0.919467,0.932635,1,3,0,25.5912,0.325086,0.389943,0.325086,0.389943,0.361171,1.00513,1.00715,1.0098,1.0123,1.0149,1.01802,1.02143,1.02469,1.02805,1.03183,1.03517,1.04005,1.04315,1.04873,1.05255,1.05806,1.06394,1.06959,1.07672,1.08324,1.09164,1.09962,1.11,1.11862,1.13044,1.14297,1.15793,1.17306,1.18981,1.21304,1.2347,1.26286,1.29633,1.34209,1.38924,1.47373,1.56671,1.69989,2.01782,2.49461,0.0139644,0.0193314,0.0262726,0.0327016,0.0393118,0.0470839,0.0554195,0.0632392,0.0711311,0.0798696,0.0874168,0.0982109,0.104931,0.116787,0.124687,0.135869,0.147462,0.158336,0.171661,0.183513,0.198319,0.211919,0.229026,0.242757,0.260899,0.279374,0.300497,0.320919,0.342504,0.37089,0.395894,0.426568,0.460646,0.503713,0.544509,0.610286,0.674133,0.753869,0.906467,1.07527,23.6833,3.25883e+07,1.36973e+06,57571.6
-27.5786,0.796722,0.932635,2,7,0,27.6215,0.364256,0.374801,0.364256,0.374801,0.414499,1.00589,1.0082,1.01124,1.0141,1.01709,1.02067,1.02457,1.02831,1.03215,1.03649,1.0403,1.04588,1.04943,1.05581,1.06017,1.06646,1.07317,1.07961,1.08773,1.09516,1.10471,1.11377,1.12555,1.13533,1.1487,1.16286,1.17974,1.19678,1.21559,1.24164,1.26585,1.29725,1.33442,1.38506,1.43702,1.52964,1.63098,1.77532,2.11733,2.62673,0.0139591,0.0193214,0.026254,0.0326727,0.0392698,0.0470235,0.0553355,0.0631295,0.0709918,0.0796933,0.0872049,0.0979423,0.104624,0.116404,0.124249,0.135347,0.146844,0.157621,0.170817,0.182545,0.197183,0.210616,0.227496,0.241031,0.258895,0.277065,0.297813,0.317843,0.338985,0.366743,0.391152,0.421042,0.454182,0.495966,0.53545,0.59893,0.660349,0.736818,0.882566,1.04314,23.7492,3.2633e+07,1.37067e+06,57571.6
-25.7121,0.993359,0.932635,2,7,0,27.4251,0.320739,0.391594,0.320739,0.391594,0.355393,1.00505,1.00704,1.00964,1.0121,1.01466,1.01773,1.02109,1.0243,1.0276,1.03133,1.03461,1.03941,1.04246,1.04796,1.05172,1.05715,1.06293,1.0685,1.07551,1.08194,1.09022,1.09807,1.10829,1.11679,1.12843,1.14078,1.15553,1.17045,1.18696,1.20988,1.23125,1.25905,1.29209,1.33729,1.38389,1.46745,1.55946,1.69136,2.0065,2.47953,0.0139649,0.0193325,0.0262747,0.0327048,0.0393163,0.0470904,0.0554286,0.0632511,0.0711463,0.0798888,0.0874398,0.0982402,0.104965,0.116829,0.124735,0.135926,0.147529,0.158414,0.171754,0.18362,0.198444,0.212062,0.229195,0.242948,0.26112,0.279629,0.300795,0.32126,0.342895,0.371352,0.396424,0.427187,0.461373,0.504588,0.545536,0.611582,0.675713,0.755837,0.909252,1.07905,23.6757,3.25834e+07,1.36962e+06,57571.6
-25.6364,0.946774,0.932635,2,3,0,26.4768,0.321552,0.391285,0.321552,0.391285,0.356471,1.00506,1.00706,1.00967,1.01214,1.01471,1.01779,1.02115,1.02437,1.02768,1.03142,1.03472,1.03953,1.04259,1.04811,1.05187,1.05732,1.06312,1.0687,1.07574,1.08218,1.09048,1.09836,1.10861,1.11714,1.12881,1.14119,1.15598,1.17094,1.1875,1.21047,1.23189,1.25976,1.29288,1.33819,1.38489,1.46862,1.56082,1.69296,2.00862,2.48235,0.0139648,0.0193323,0.0262743,0.0327042,0.0393155,0.0470892,0.0554269,0.0632489,0.0711435,0.0798852,0.0874355,0.0982347,0.104959,0.116821,0.124726,0.135915,0.147517,0.158399,0.171736,0.1836,0.198421,0.212035,0.229164,0.242912,0.261079,0.279582,0.300739,0.321196,0.342822,0.371266,0.396325,0.427071,0.461237,0.504424,0.545344,0.611339,0.675417,0.755468,0.908729,1.07834,23.6771,3.25843e+07,1.36964e+06,57571.6
-25.2447,0.888811,0.932635,1,3,0,26.8248,0.343972,0.382703,0.343972,0.382703,0.386601,1.00549,1.00765,1.01049,1.01316,1.01595,1.01928,1.02293,1.02642,1.03001,1.03406,1.03762,1.04283,1.04615,1.05212,1.05619,1.06208,1.06835,1.07438,1.08199,1.08894,1.0979,1.1064,1.11745,1.12663,1.1392,1.15251,1.1684,1.18446,1.20221,1.22681,1.24971,1.27945,1.31472,1.36286,1.41237,1.50085,1.59793,1.73659,2.06635,2.55915,0.0139619,0.0193266,0.0262637,0.0326878,0.0392917,0.047055,0.0553794,0.0631868,0.0710646,0.0797853,0.0873155,0.0980824,0.104784,0.116604,0.124477,0.135619,0.147166,0.157993,0.171257,0.183049,0.197774,0.211293,0.228291,0.241927,0.259934,0.278262,0.299203,0.319435,0.340805,0.368885,0.393599,0.423889,0.457509,0.499946,0.540096,0.60474,0.667385,0.745498,0.89468,1.05936,23.7156,3.26099e+07,1.37018e+06,57571.6
-25.1494,0.930776,0.932635,2,7,0,25.8193,0.328937,0.388475,0.328937,0.388475,0.366314,1.0052,1.00725,1.00994,1.01247,1.01511,1.01828,1.02173,1.02504,1.02844,1.03228,1.03567,1.04061,1.04375,1.04942,1.05328,1.05888,1.06483,1.07056,1.07779,1.0844,1.09291,1.10099,1.11151,1.12025,1.13222,1.14491,1.16006,1.17538,1.19233,1.21585,1.23776,1.26625,1.30008,1.34633,1.39397,1.47928,1.57311,1.70743,2.0278,2.5079,0.0139639,0.0193305,0.0262708,0.0326988,0.0393077,0.047078,0.0554114,0.0632286,0.0711177,0.0798525,0.0873962,0.0981849,0.104902,0.11675,0.124644,0.135818,0.147402,0.158266,0.171579,0.183419,0.198208,0.211792,0.228877,0.242588,0.260702,0.279147,0.300233,0.320616,0.342157,0.37048,0.395425,0.42602,0.460003,0.50294,0.543602,0.609145,0.672741,0.752139,0.904021,1.07196,23.69,3.25927e+07,1.36982e+06,57571.6
-25.3267,0.964797,0.932635,2,3,0,25.5272,0.325574,0.389757,0.325574,0.389757,0.361822,1.00514,1.00716,1.00982,1.01232,1.01493,1.01805,1.02147,1.02474,1.0281,1.03189,1.03523,1.04012,1.04322,1.04882,1.05264,1.05817,1.06405,1.06971,1.07685,1.08339,1.0918,1.09979,1.11019,1.11883,1.13066,1.14321,1.1582,1.17336,1.19013,1.2134,1.23509,1.26329,1.2968,1.34262,1.38984,1.47443,1.56752,1.70085,2.01909,2.4963,0.0139643,0.0193313,0.0262724,0.0327013,0.0393112,0.0470831,0.0554185,0.0632379,0.0711294,0.0798674,0.0874142,0.0982076,0.104928,0.116782,0.124682,0.135862,0.147454,0.158327,0.171651,0.183501,0.198305,0.211903,0.229008,0.242736,0.260874,0.279345,0.300464,0.32088,0.34246,0.370838,0.395835,0.426498,0.460565,0.503615,0.544394,0.610141,0.673956,0.753649,0.906156,1.07485,23.6841,3.25889e+07,1.36974e+06,57571.6
-25.1932,1,0.932635,1,1,0,25.3089,0.327961,0.388848,0.327961,0.388848,0.365008,1.00519,1.00723,1.0099,1.01243,1.01506,1.01821,1.02166,1.02495,1.02834,1.03217,1.03554,1.04047,1.0436,1.04925,1.0531,1.05867,1.0646,1.07032,1.07751,1.0841,1.09259,1.10064,1.11113,1.11984,1.13176,1.14441,1.15952,1.1748,1.19169,1.21513,1.23698,1.26539,1.29913,1.34525,1.39277,1.47787,1.57149,1.70552,2.02528,2.50454,0.013964,0.0193307,0.0262713,0.0326995,0.0393087,0.0470795,0.0554134,0.0632313,0.0711211,0.0798568,0.0874014,0.0981915,0.104909,0.116759,0.124655,0.135831,0.147417,0.158284,0.1716,0.183443,0.198236,0.211824,0.228915,0.242631,0.260752,0.279205,0.3003,0.320693,0.342245,0.370584,0.395544,0.426158,0.460166,0.503136,0.543832,0.609434,0.673093,0.752577,0.904639,1.0728,23.6883,3.25916e+07,1.3698e+06,57571.6
-25.3963,0.963023,0.932635,1,1,0,25.3979,0.324538,0.390151,0.324538,0.390151,0.360441,1.00512,1.00714,1.00978,1.01227,1.01487,1.01798,1.02139,1.02464,1.02799,1.03177,1.0351,1.03997,1.04306,1.04864,1.05244,1.05795,1.06381,1.06945,1.07657,1.08308,1.09146,1.09942,1.10978,1.11839,1.13018,1.14269,1.15763,1.17274,1.18945,1.21264,1.23426,1.26238,1.29579,1.34148,1.38856,1.47294,1.5658,1.69882,2.01639,2.49271,0.0139645,0.0193316,0.0262729,0.032702,0.0393123,0.0470847,0.0554206,0.0632407,0.0711331,0.079872,0.0874197,0.0982146,0.104936,0.116792,0.124693,0.135876,0.14747,0.158346,0.171673,0.183527,0.198335,0.211937,0.229048,0.242781,0.260927,0.279406,0.300535,0.320962,0.342553,0.370948,0.395961,0.426646,0.460738,0.503823,0.544638,0.610449,0.674332,0.754117,0.906816,1.07574,23.6823,3.25877e+07,1.36972e+06,57571.6
-25.6245,0.958752,0.932635,1,1,0,25.6462,0.321684,0.391235,0.321684,0.391235,0.356647,1.00507,1.00706,1.00968,1.01214,1.01472,1.0178,1.02116,1.02438,1.0277,1.03144,1.03473,1.03955,1.04261,1.04813,1.0519,1.05735,1.06315,1.06874,1.07578,1.08222,1.09053,1.0984,1.10866,1.11719,1.12887,1.14125,1.15605,1.17102,1.18758,1.21057,1.232,1.25988,1.29301,1.33833,1.38505,1.46881,1.56104,1.69322,2.00896,2.48281,0.0139648,0.0193323,0.0262742,0.0327041,0.0393153,0.047089,0.0554266,0.0632485,0.071143,0.0798846,0.0874348,0.0982339,0.104958,0.11682,0.124724,0.135913,0.147515,0.158397,0.171734,0.183597,0.198417,0.212031,0.229158,0.242906,0.261072,0.279574,0.30073,0.321186,0.34281,0.371252,0.396309,0.427053,0.461215,0.504398,0.545312,0.6113,0.675369,0.755408,0.908644,1.07822,23.6773,3.25844e+07,1.36965e+06,57571.6
-26.0947,0.917386,0.932635,1,1,0,26.1161,0.317185,0.392939,0.317185,0.392939,0.350689,1.00498,1.00694,1.00952,1.01194,1.01447,1.0175,1.02081,1.02398,1.02724,1.03092,1.03416,1.03889,1.04191,1.04734,1.05104,1.0564,1.06211,1.06761,1.07454,1.08088,1.08905,1.0968,1.10691,1.1153,1.1268,1.139,1.15357,1.16832,1.18464,1.2073,1.22843,1.25593,1.28862,1.33337,1.37951,1.4623,1.55352,1.68435,1.9972,2.46713,0.0139654,0.0193334,0.0262763,0.0327073,0.03932,0.0470958,0.0554361,0.0632609,0.0711587,0.0799044,0.0874587,0.0982641,0.104992,0.116863,0.124774,0.135972,0.147584,0.158478,0.171829,0.183706,0.198546,0.212179,0.229333,0.243103,0.261301,0.279838,0.301038,0.32154,0.343216,0.371731,0.396859,0.427695,0.46197,0.505306,0.546379,0.612646,0.677014,0.757457,0.911551,1.08217,23.6694,3.25793e+07,1.36954e+06,57571.6
