# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SSx43SnIa_model
# start_datetime = 2023-07-24 11:16:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpsjosbz2s/9rbfn0mp.json
# init = /tmp/tmpsjosbz2s/qwqasnzb.json
# random
#   seed = 36427
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-LCDM/SS+SnIa/LISA/SS+SnIa-20230724121610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,alpha,theta.1,theta.2,theta.3,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,correction,Delta,A,B,C
# Adaptation terminated
# Step size = 0.522079
# Diagonal elements of inverse mass matrix:
# 7.49891e-05, 0.000166893, 0.00579836
-32.4525,1,0.522079,3,7,0,33.5337,0.713651,0.298414,0.663498,0.713651,0.298414,0.663498,0.988032,2.41433,11.5347,12.7045,12.7717,13.0024,16.3193,25.6733,25.7166,26.0677,26.5405,36.1383,45.9838,56.25,61.898,1.05876,23.6995,3.26351e+07,1.37071e+06,57571.6
-31.8479,1,0.522079,2,3,0,32.3855,0.713761,0.297405,0.510181,0.713761,0.297405,0.510181,0.986829,2.40827,11.453,12.6103,12.6768,12.905,16.1846,25.4263,25.4691,25.8159,26.2828,35.76,45.4799,55.6143,61.1897,1.0456,23.6978,3.26339e+07,1.37069e+06,57571.6
-31.1744,0.998153,0.522079,3,7,0,31.9995,0.711451,0.286904,0.234144,0.711451,0.286904,0.234144,0.989226,2.41136,11.4141,12.5629,12.6289,12.8553,16.1089,25.2693,25.3117,25.6553,26.118,35.5066,45.1342,55.1722,60.6946,1.02125,23.6797,3.26217e+07,1.37043e+06,57571.6
-31.811,0.828696,0.522079,3,7,0,32.5555,0.707039,0.295832,-0.113307,0.707039,0.295832,-0.113307,0.990852,2.40264,11.1798,12.2906,12.3543,12.5732,15.7135,24.5333,24.5741,24.9046,25.3495,34.3732,43.6205,53.2588,58.5606,0.989464,23.6951,3.26321e+07,1.37065e+06,57571.6
-32.3613,0.472991,0.522079,3,7,0,35.7812,0.712973,0.267156,0.061953,0.712973,0.267156,0.061953,0.988532,2.41302,11.4606,12.6164,12.6828,12.9107,16.185,25.4067,25.4495,25.7954,26.2613,35.7162,45.414,55.5271,61.0916,1.00566,23.6444,3.25985e+07,1.36994e+06,57571.6
-32.3603,0.944689,0.522079,3,15,0,34.0977,0.72152,0.289529,0.341961,0.72152,0.289529,0.341961,0.975945,2.38062,11.2975,12.437,12.5024,12.7271,15.9552,25.0476,25.0898,25.4309,25.8902,35.212,44.7719,54.7396,60.2233,1.03084,23.6842,3.26248e+07,1.3705e+06,57571.6
-32.3603,0.542705,0.522079,2,7,0,35.7964,0.72152,0.289529,0.341961,0.72152,0.289529,0.341961,0.975945,2.38062,11.2975,12.437,12.5024,12.7271,15.9552,25.0476,25.0898,25.4309,25.8902,35.212,44.7719,54.7396,60.2233,1.03084,23.6842,3.26248e+07,1.3705e+06,57571.6
-32.0571,0.982431,0.522079,2,3,0,32.6696,0.709356,0.287487,0.382489,0.709356,0.287487,0.382489,0.9933,2.42469,11.5338,12.6992,12.7661,12.9959,16.2983,25.6033,25.6464,25.9956,26.4657,36.008,45.7951,56.0002,61.6148,1.03439,23.6807,3.26224e+07,1.37045e+06,57571.6
-32.1384,0.896622,0.522079,1,3,0,33.0034,0.707802,0.282475,0.256491,0.707802,0.282475,0.256491,0.995154,2.42805,11.5264,12.689,12.7558,12.985,16.2786,25.5556,25.5985,25.9466,26.4152,35.9263,45.6809,55.852,61.4479,1.02322,23.6719,3.26165e+07,1.37032e+06,57571.6
-31.6074,0.947203,0.522079,3,7,0,34.4558,0.710541,0.289059,0.355215,0.710541,0.289059,0.355215,0.9912,2.41833,11.4843,12.6432,12.7097,12.9382,16.2216,25.4708,25.5137,25.8607,26.328,35.8112,45.537,55.6777,61.2568,1.032,23.6834,3.26242e+07,1.37048e+06,57571.6
-31.8601,0.993721,0.522079,3,7,0,32.1116,0.702109,0.278506,-0.210398,0.702109,0.278506,-0.210398,0.999536,2.42788,11.3473,12.4779,12.5428,12.7656,15.9631,24.9478,24.9893,25.3261,25.7794,34.9758,44.4025,54.2296,59.6358,0.980369,23.6649,3.26119e+07,1.37022e+06,57571.6
-33.4633,0.516626,0.522079,2,7,0,36.2632,0.708338,0.299994,0.635811,0.708338,0.299994,0.635811,0.995019,2.43022,11.592,12.7661,12.8335,13.0651,16.3938,25.7785,25.822,26.1743,26.6486,36.276,46.1512,56.448,62.1128,1.05642,23.7022,3.26369e+07,1.37075e+06,57571.6
-33.2485,0.859067,0.522079,3,7,0,36.3966,0.72078,0.305032,0.758133,0.72078,0.305032,0.758133,0.978103,2.38985,11.4187,12.577,12.6435,12.872,16.1565,25.4199,25.4629,25.8106,26.2788,35.784,45.5343,55.701,61.2941,1.06684,23.7107,3.26427e+07,1.37087e+06,57571.6
-36.3636,0.92966,0.522079,3,7,0,38.3878,0.733803,0.29051,1.37892,0.733803,0.29051,1.37892,0.966504,2.37827,11.6494,12.8545,12.9237,13.1617,16.5896,26.301,26.3461,26.7115,27.2035,37.2025,47.4734,58.1902,64.088,1.11694,23.6859,3.26259e+07,1.37052e+06,57571.6
-33.1249,0.950185,0.522079,2,3,0,37.0925,0.723837,0.287618,0.870069,0.723837,0.287618,0.870069,0.976982,2.39542,11.5761,12.7605,12.8285,13.0622,16.4251,25.9267,25.9708,26.3278,26.8085,36.572,46.5934,57.0462,62.7979,1.07594,23.6809,3.26226e+07,1.37045e+06,57571.6
-32.2625,1,0.522079,3,7,0,34.0999,0.702622,0.27431,-0.539602,0.702622,0.27431,-0.539602,0.996002,2.41111,11.139,12.2389,12.302,12.5187,15.6258,24.3426,24.3829,24.7094,25.1489,34.0618,43.195,52.7151,57.9524,0.948525,23.6574,3.26069e+07,1.37012e+06,57571.6
-32.2625,0.416121,0.522079,2,3,0,37.5467,0.702622,0.27431,-0.539602,0.702622,0.27431,-0.539602,0.996002,2.41111,11.139,12.2389,12.302,12.5187,15.6258,24.3426,24.3829,24.7094,25.1489,34.0618,43.195,52.7151,57.9524,0.948525,23.6574,3.26069e+07,1.37012e+06,57571.6
-31.6183,0.998694,0.522079,2,3,0,32.2659,0.703243,0.277778,-0.337347,0.703243,0.277778,-0.337347,0.996744,2.41769,11.2458,12.3622,12.4263,12.6462,15.8019,24.6633,24.7043,25.0363,25.4833,34.5495,43.8413,53.5272,58.8557,0.968253,23.6636,3.2611e+07,1.37021e+06,57571.6
-31.2621,0.97394,0.522079,2,7,0,33.0786,0.710794,0.293698,0.172172,0.710794,0.293698,0.172172,0.988622,2.40576,11.3263,12.4617,12.5268,12.7506,15.9645,25.0061,25.048,25.387,25.8435,35.105,44.6,54.4983,59.9435,1.01571,23.6914,3.26296e+07,1.3706e+06,57571.6
-31.5352,0.876142,0.522079,3,7,0,31.9467,0.714045,0.277295,-0.0942035,0.714045,0.277295,-0.0942035,0.984126,2.39415,11.2473,12.3724,12.437,12.6587,15.8422,24.7941,24.8355,25.1711,25.623,34.7905,44.1893,53.988,59.3788,0.991281,23.6627,3.26105e+07,1.37019e+06,57571.6
-31.6767,0.552796,0.522079,2,7,0,35.0695,0.717872,0.291242,0.325439,0.717872,0.291242,0.325439,0.98053,2.39078,11.3302,12.4718,12.5373,12.7623,15.996,25.1022,25.1444,25.486,25.946,35.2804,44.8528,54.833,60.3236,1.02939,23.6872,3.26268e+07,1.37054e+06,57571.6
-32.6356,0.851892,0.522079,2,3,0,33.3372,0.716862,0.303099,0.703282,0.716862,0.303099,0.703282,0.983291,2.40199,11.4664,12.6287,12.6954,12.9247,16.22,25.5124,25.5554,25.9042,26.3739,35.9076,45.6869,55.8837,61.4934,1.06219,23.7074,3.26405e+07,1.37082e+06,57571.6
-31.6546,0.926055,0.522079,2,3,0,33.0308,0.71832,0.290559,0.394355,0.71832,0.290559,0.394355,0.980576,2.39278,11.3704,12.5184,12.5843,12.8107,16.0636,25.2281,25.2705,25.6144,26.0774,35.4745,45.1121,55.161,60.6894,1.03545,23.686,3.2626e+07,1.37052e+06,57571.6
-32.6954,0.947209,0.522079,2,3,0,33.0041,0.717156,0.302593,0.739172,0.717156,0.302593,0.739172,0.983222,2.40278,11.486,12.6515,12.7184,12.9483,16.2533,25.5751,25.6183,25.9683,26.4395,36.005,45.8176,56.0494,61.6785,1.06521,23.7066,3.26399e+07,1.37081e+06,57571.6
