# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SSx43SnIa_model
# start_datetime = 2023-07-24 11:16:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpsjosbz2s/9rbfn0mp.json
# init = /tmp/tmpsjosbz2s/qwqasnzb.json
# random
#   seed = 36427
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-LCDM/SS+SnIa/LISA/SS+SnIa-20230724121610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,alpha,theta.1,theta.2,theta.3,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,correction,Delta,A,B,C
# Adaptation terminated
# Step size = 0.350434
# Diagonal elements of inverse mass matrix:
# 7.13841e-05, 0.000207808, 0.00625227
-31.6907,0.992997,0.350434,2,7,0,33.6661,0.712685,0.286231,0.415445,0.712685,0.286231,0.415445,0.9891,2.41568,11.5107,12.6753,12.7422,12.9718,16.2725,25.5755,25.6186,25.9677,26.4378,35.9799,45.7675,55.9736,61.5888,1.03727,23.6785,3.26209e+07,1.37041e+06,57571.6
-31.9497,0.960844,0.350434,3,11,0,33.3309,0.709843,0.26974,-0.321334,0.709843,0.26974,-0.321334,0.98893,2.40255,11.2276,12.3459,12.4101,12.6304,15.7928,24.6779,24.719,25.052,25.5003,34.5948,43.9176,53.6369,58.9842,0.969839,23.6491,3.26015e+07,1.37001e+06,57571.6
-33.1149,0.829071,0.350434,2,3,0,33.4645,0.713098,0.272617,-0.418281,0.713098,0.272617,-0.418281,0.982958,2.38398,11.0802,12.1793,12.2423,12.4589,15.5653,24.2871,24.3275,24.6542,25.0942,34.0169,43.1618,52.695,57.9395,0.960452,23.6543,3.26049e+07,1.37008e+06,57571.6
-31.6028,1,0.350434,2,3,0,33.271,0.710963,0.272433,-0.0086775,0.710963,0.272433,-0.0086775,0.989914,2.41247,11.3977,12.5426,12.6084,12.834,16.0757,25.1984,25.2407,25.5828,26.0435,35.3915,44.9775,54.9727,60.4719,0.999202,23.654,3.26047e+07,1.37007e+06,57571.6
-32.0144,0.986408,0.350434,3,15,0,32.4987,0.699391,0.282493,-0.344433,0.699391,0.282493,-0.344433,1.00139,2.42678,11.2589,12.3745,12.4385,12.6583,15.8113,24.6621,24.703,25.0346,25.481,34.5341,43.8115,53.4818,58.8015,0.967542,23.6719,3.26166e+07,1.37032e+06,57571.6
-32.6221,0.99399,0.350434,2,3,0,32.803,0.69699,0.289288,-0.465846,0.69699,0.289288,-0.465846,1.00237,2.42252,11.1457,12.2435,12.3064,12.5226,15.6226,24.3158,24.356,24.6815,25.1197,34.005,43.108,52.5949,57.8134,0.955674,23.6838,3.26245e+07,1.37049e+06,57571.6
-31.6173,0.698395,0.350434,2,5,0,35.8194,0.711404,0.279477,-0.219668,0.711404,0.279477,-0.219668,0.986233,2.39491,11.1837,12.2974,12.3613,12.5807,15.73,24.578,24.619,24.9506,25.397,34.4528,43.7351,53.4115,58.7348,0.979487,23.6666,3.2613e+07,1.37025e+06,57571.6
-31.8144,0.752619,0.350434,2,7,0,34.775,0.708026,0.278722,0.133172,0.708026,0.278722,0.133172,0.994333,2.42441,11.479,12.6343,12.7007,12.9284,16.2003,25.4119,25.4546,25.8001,26.2653,35.7066,45.3888,55.4841,61.0384,1.01215,23.6652,3.26121e+07,1.37023e+06,57571.6
-34.4623,0.8746,0.350434,3,7,0,35.0182,0.718958,0.278391,0.863155,0.718958,0.278391,0.863155,0.98475,2.41756,11.7311,12.9351,13.0043,13.2419,16.6618,26.3311,26.376,26.7394,27.2288,37.1698,47.3758,58.0229,63.8818,1.07522,23.6647,3.26118e+07,1.37022e+06,57571.6
-31.1591,0.998667,0.350434,2,7,0,36.2317,0.712681,0.289963,0.157701,0.712681,0.289963,0.157701,0.986416,2.40143,11.3196,12.4553,12.5205,12.7443,15.9593,25.0054,25.0473,25.3866,25.8433,35.1106,44.6121,54.5177,59.9671,1.01439,23.685,3.26253e+07,1.37051e+06,57571.6
-31.6868,0.980241,0.350434,2,7,0,32.5274,0.718734,0.280355,0.364729,0.718734,0.280355,0.364729,0.98119,2.39735,11.4354,12.5931,12.6596,12.8879,16.1694,25.4194,25.4622,25.8094,26.2769,35.7656,45.4992,55.6496,61.2343,1.03279,23.6681,3.26141e+07,1.37027e+06,57571.6
-32.2937,0.961639,0.350434,3,7,0,33.1254,0.717736,0.268149,0.0827678,0.717736,0.268149,0.0827678,0.982001,2.3972,11.3885,12.5374,12.6033,12.8298,16.0845,25.2513,25.2938,25.6377,26.1008,35.4997,45.1401,55.1933,60.7248,1.00756,23.6462,3.25997e+07,1.36997e+06,57571.6
-31.8321,0.997926,0.350434,3,7,0,32.7333,0.701693,0.291745,-0.262097,0.701693,0.291745,-0.262097,0.997501,2.41604,11.1973,12.3063,12.3699,12.5884,15.7224,24.5193,24.56,24.8895,25.3332,34.3302,43.5493,53.1579,58.4434,0.9754,23.6881,3.26274e+07,1.37055e+06,57571.6
-31.9244,0.975089,0.350434,3,15,0,32.4384,0.70507,0.271679,-0.224233,0.70507,0.271679,-0.224233,0.99628,2.42239,11.3537,12.4872,12.5522,12.7756,15.9819,24.9946,25.0363,25.3741,25.829,35.0566,44.5166,54.3793,59.8055,0.979086,23.6526,3.26038e+07,1.37006e+06,57571.6
-32.0035,0.991422,0.350434,2,3,0,32.1887,0.70911,0.277122,-0.37704,0.70911,0.277122,-0.37704,0.988188,2.39602,11.1303,12.2342,12.2975,12.5149,15.6347,24.3933,24.4338,24.762,25.2038,34.1637,43.3464,52.9185,58.1843,0.964424,23.6624,3.26103e+07,1.37019e+06,57571.6
-31.573,0.990424,0.350434,4,15,0,34.926,0.705904,0.285636,-0.296016,0.705904,0.285636,-0.296016,0.992161,2.40457,11.1611,12.2676,12.331,12.549,15.6762,24.4555,24.4961,24.825,25.2678,34.2481,43.4508,53.0431,58.3198,0.972182,23.6775,3.26202e+07,1.3704e+06,57571.6
-31.4648,0.958659,0.350434,2,7,0,32.3875,0.710041,0.287942,-0.132381,0.710041,0.287942,-0.132381,0.987677,2.3975,11.1888,12.3028,12.3667,12.5861,15.7361,24.5861,24.6271,24.9587,25.4052,34.4624,43.7454,53.4218,58.7448,0.987692,23.6815,3.26229e+07,1.37046e+06,57571.6
-31.6989,0.993511,0.350434,4,15,0,33.3505,0.709333,0.299444,0.260695,0.709333,0.299444,0.260695,0.990616,2.41072,11.3558,12.4949,12.5603,12.7848,16.0093,25.0819,25.1239,25.4641,25.9222,35.216,44.7442,54.6768,60.1407,1.02367,23.7012,3.26363e+07,1.37074e+06,57571.6
-31.4426,0.997919,0.350434,3,7,0,31.953,0.707119,0.295604,0.0555092,0.707119,0.295604,0.0555092,0.992411,2.41118,11.2932,12.4209,12.4856,12.7078,15.898,24.8662,24.9077,25.2439,25.6965,34.8779,44.2889,54.0988,59.4951,1.0051,23.6947,3.26318e+07,1.37064e+06,57571.6
-31.1431,0.998858,0.350434,4,15,0,31.5589,0.711242,0.278757,0.0254754,0.711242,0.278757,0.0254754,0.988882,2.40834,11.3574,12.497,12.5624,12.787,16.0127,25.0888,25.1308,25.4711,25.9294,35.2277,44.7619,54.7022,60.1711,1.00234,23.6653,3.26122e+07,1.37023e+06,57571.6
-31.0409,0.999909,0.350434,3,7,0,31.1487,0.711547,0.282941,0.026856,0.711547,0.282941,0.026856,0.987847,2.40422,11.3157,12.4494,12.5145,12.738,15.9468,24.9728,25.0146,25.353,25.8087,35.0539,44.5327,54.4147,59.8513,1.00247,23.6727,3.26171e+07,1.37033e+06,57571.6
-32.1371,0.985709,0.350434,3,7,0,32.2272,0.720682,0.291588,0.623481,0.720682,0.291588,0.623481,0.978993,2.39376,11.4571,12.6205,12.6873,12.9168,16.2161,25.5225,25.5656,25.915,26.3855,35.9364,45.7349,55.9528,61.5746,1.05528,23.6878,3.26272e+07,1.37055e+06,57571.6
-32.0148,0.967354,0.350434,4,15,0,34.1345,0.718956,0.274033,0.0981055,0.718956,0.274033,0.0981055,0.9796,2.38942,11.3248,12.4653,12.5308,12.7556,15.9859,25.0813,25.1234,25.4646,25.924,35.2472,44.8089,54.7791,60.2647,1.00896,23.6569,3.26066e+07,1.37011e+06,57571.6
-31.8377,0.985876,0.350434,3,15,0,32.4608,0.703816,0.290496,0.0912718,0.703816,0.290496,0.0912718,0.99816,2.42808,11.4145,12.5574,12.623,12.8482,16.0826,25.1795,25.2216,25.5626,26.0219,35.3385,44.8898,54.8467,60.3242,1.00837,23.6859,3.26259e+07,1.37052e+06,57571.6
-31.5501,0.989395,0.350434,2,3,0,32.1316,0.708393,0.295949,0.00684549,0.708393,0.295949,0.00684549,0.990115,2.40415,11.2379,12.3584,12.4227,12.6435,15.8126,24.719,24.7603,25.0941,25.5435,34.6598,44.0036,53.7429,59.1004,1.00063,23.6953,3.26322e+07,1.37065e+06,57571.6
-31.3846,0.883421,0.350434,3,15,0,33.1567,0.70433,0.285552,-0.245891,0.70433,0.285552,-0.245891,0.994912,2.41275,11.2222,12.3366,12.4005,12.62,15.7699,24.6155,24.6564,24.9879,25.4341,34.4839,43.7585,53.4258,58.7439,0.976972,23.6773,3.26201e+07,1.3704e+06,57571.6
-31.4627,0.991357,0.350434,3,15,0,31.9175,0.705488,0.293527,0.0580826,0.705488,0.293527,0.0580826,0.995038,2.41843,11.3391,12.4722,12.5373,12.7606,15.9665,24.98,25.0218,25.3596,25.8146,35.0434,44.5035,54.3648,59.7896,1.00534,23.6911,3.26294e+07,1.37059e+06,57571.6
-31.4721,0.963052,0.350434,3,7,0,33.2931,0.706745,0.275278,-0.145164,0.706745,0.275278,-0.145164,0.994119,2.41788,11.3476,12.4818,12.5468,12.7703,15.9792,25.0009,25.0426,25.3808,25.8362,35.0742,44.5451,54.4191,59.8513,0.986523,23.6591,3.26081e+07,1.37014e+06,57571.6
-31.2573,0.984242,0.350434,3,7,0,31.6979,0.705861,0.281453,-0.0961646,0.705861,0.281453,-0.0961646,0.994878,2.41858,11.3383,12.4708,12.5358,12.7589,15.9628,24.9694,25.0111,25.3487,25.8033,35.025,44.4783,54.3333,59.755,0.991091,23.6701,3.26153e+07,1.3703e+06,57571.6
-31.4512,0.975838,0.350434,2,7,0,32.8092,0.70418,0.289317,-0.0214218,0.70418,0.289317,-0.0214218,0.996767,2.42211,11.3448,12.4774,12.5424,12.7656,15.9697,24.9766,25.0183,25.3559,25.8105,35.0315,44.4836,54.3366,59.7568,0.998022,23.6839,3.26245e+07,1.37049e+06,57571.6
-31.169,0.994821,0.350434,4,15,0,31.8321,0.712873,0.281549,0.177336,0.712873,0.281549,0.177336,0.987539,2.40787,11.4034,12.5514,12.6173,12.8436,16.095,25.2494,25.2918,25.6352,26.0976,35.4805,45.1028,55.1356,60.6554,1.01614,23.6703,3.26155e+07,1.3703e+06,57571.6
-32.563,0.964218,0.350434,3,7,0,33.2168,0.70921,0.263343,-0.340869,0.70921,0.263343,-0.340869,0.990651,2.40886,11.2849,12.4108,12.4754,12.6973,15.8818,24.8318,24.8732,25.2087,25.6604,34.8235,44.2177,54.0124,59.4014,0.968003,23.6374,3.25939e+07,1.36985e+06,57571.6
-31.4981,0.889996,0.350434,3,7,0,33.552,0.704991,0.276296,-0.245295,0.704991,0.276296,-0.245295,0.995451,2.41787,11.297,12.4223,12.4868,12.7085,15.8907,24.8319,24.8733,25.2084,25.6595,34.8111,44.1919,53.9712,59.3513,0.977068,23.6609,3.26093e+07,1.37017e+06,57571.6
-31.7804,0.903462,0.350434,3,7,0,32.7886,0.714201,0.279211,-0.141137,0.714201,0.279211,-0.141137,0.983175,2.38979,11.1959,12.3135,12.3777,12.5979,15.7594,24.6461,24.6872,25.0203,25.4688,34.567,43.8937,53.6168,58.9659,0.986891,23.6661,3.26127e+07,1.37024e+06,57571.6
-32.0193,0.995625,0.350434,4,15,0,33.2491,0.70398,0.296999,0.146317,0.70398,0.296999,0.146317,0.997474,2.42537,11.3905,12.5303,12.5957,12.8204,16.0459,25.1171,25.1591,25.4991,25.957,35.2464,44.7691,54.6955,60.1561,1.01338,23.6971,3.26334e+07,1.37068e+06,57571.6
-31.3583,0.998593,0.350434,3,15,0,32.6739,0.703968,0.287916,-0.131871,0.703968,0.287916,-0.131871,0.996207,2.41823,11.2859,12.4096,12.474,12.6954,15.8728,24.7999,24.8412,25.1757,25.6262,34.7622,44.1261,53.8869,59.2563,0.987739,23.6814,3.26229e+07,1.37046e+06,57571.6
-32.6169,0.873028,0.350434,3,7,0,33.0354,0.711759,0.273661,0.297382,0.711759,0.273661,0.297382,0.991215,2.4228,11.5673,12.7389,12.8062,13.0373,16.3586,25.7213,25.7647,26.1161,26.5893,36.1947,46.0486,56.325,61.9793,1.02681,23.6562,3.26062e+07,1.3701e+06,57571.6
