# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 10:21:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpseqr2vt3/mculhrra.json
# init = /tmp/tmpseqr2vt3/mi8fyus0.json
# random
#   seed = 77511
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CC/CC-20230724112113.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.369154
# Diagonal elements of inverse mass matrix:
# 0.00222, 0.0368718
-8.95529,0.915415,0.369154,2,3,0,9.52724,0.660436,0.359752,68.665,69.46,70.6905,72.8407,73.2408,74.1439,74.1896,77.5037,77.9958,81.673,83.1652,84.2517,84.2736,85.6339,86.7585,88.1876,88.6676,88.7663,95.5817,101.158,105.841,107.968,114.613,114.974,116.428,126.71,147.934,153.286,159.085,167.94,188.218,209.031
-9.24325,0.961781,0.369154,2,7,0,9.42946,0.660433,0.383573,68.8347,69.68,70.9871,73.2682,73.6922,74.6489,74.6973,78.2029,78.7228,82.6032,84.1756,85.3199,85.343,86.7747,87.9577,89.4601,89.9647,90.0684,97.2208,103.061,107.959,110.182,117.12,117.497,119.013,129.729,151.804,157.364,163.386,172.575,193.604,215.17
-10.1006,0.980647,0.369154,3,11,0,11.1453,0.628074,0.434171,65.8042,66.7088,68.105,70.5347,70.9855,72.0015,72.0528,75.765,76.3142,80.4034,82.0559,83.2569,83.2811,84.7821,86.021,87.5928,88.1202,88.2286,95.685,101.75,106.823,109.122,116.283,116.672,118.235,129.26,151.89,157.576,163.73,173.113,194.553,216.507
-10.6818,0.981631,0.369154,3,7,0,10.961,0.621901,0.466629,65.3739,66.3329,67.8115,70.3801,70.8561,71.9282,71.9823,75.8925,76.4701,80.7649,82.4976,83.756,83.7814,85.353,86.6494,88.293,88.8443,88.9576,96.7392,103.055,108.329,110.717,118.15,118.553,120.173,131.594,154.987,160.858,167.209,176.888,198.987,221.597
-9.95411,0.990605,0.369154,2,7,0,11.8931,0.637299,0.432215,66.7574,67.6713,69.082,71.5374,71.9929,73.0197,73.0716,76.8236,77.3788,81.5127,83.1834,84.3978,84.4222,85.9399,87.1927,88.782,89.3154,89.425,96.9659,103.1,108.232,110.558,117.803,118.196,119.777,130.933,153.833,159.587,165.815,175.311,197.012,219.233
-10.1952,0.998139,0.369154,2,3,0,10.2164,0.625801,0.422679,65.4888,66.3674,67.7241,70.0866,70.525,71.5136,71.5635,75.1776,75.7126,79.6981,81.3096,82.4812,82.5048,83.9693,85.1785,86.7128,87.2278,87.3336,94.6179,100.548,105.51,107.76,114.771,115.152,116.682,127.484,149.67,155.248,161.285,170.492,191.537,213.093
-11.0528,0.73079,0.369154,2,5,0,12.1465,0.651337,0.442572,68.3003,69.2556,70.7296,73.2937,73.7692,74.8409,74.895,78.8087,79.3875,83.6954,85.4354,86.6999,86.7254,88.3054,89.6093,91.2632,91.8181,91.9321,99.774,106.149,111.478,113.893,121.414,121.822,123.463,135.035,158.774,164.737,171.19,181.027,203.5,226.507
-9.06731,0.829009,0.369154,2,3,0,12.5301,0.655779,0.373497,68.2783,69.0966,70.3623,72.5726,72.9836,73.9111,73.958,77.3588,77.8634,81.6316,83.1594,84.2715,84.2939,85.6857,86.836,88.2973,88.7881,88.8889,95.8504,101.54,106.313,108.481,115.248,115.616,117.095,127.555,149.121,154.555,160.442,169.427,189.996,211.096
-10.8565,0.652544,0.369154,2,3,0,11.2693,0.638337,0.348536,66.2899,67.0354,68.1896,70.2079,70.5836,71.4319,71.4748,74.5899,75.0527,78.5131,79.9182,80.9417,80.9623,82.244,83.304,84.6512,85.1039,85.197,91.6278,96.8947,101.321,103.332,109.618,109.96,111.336,121.072,141.188,146.264,151.766,160.167,179.416,199.182
-9.34364,0.933313,0.369154,2,3,0,11.4387,0.645753,0.381772,67.2922,68.115,69.3874,71.6081,72.021,72.9525,72.9995,76.4132,76.9195,80.6988,82.2303,83.345,83.3674,84.7621,85.9145,87.3782,87.8697,87.9708,94.9396,100.631,105.404,107.571,114.333,114.7,116.178,126.625,148.147,153.568,159.44,168.401,188.908,209.939
-10.6432,0.972556,0.369154,2,7,0,11.6449,0.618729,0.45986,64.9956,65.9366,67.3878,69.9097,70.3771,71.4302,71.4833,75.3252,75.893,80.1153,81.8194,83.0572,83.0821,84.6282,85.9037,87.5211,88.0636,88.175,95.8353,102.055,107.251,109.604,116.929,117.326,118.923,130.183,153.256,159.047,165.313,174.863,196.672,218.988
-10.3401,0.998868,0.369154,2,3,0,10.7882,0.623621,0.445368,65.4126,66.3327,67.7523,70.2214,70.6793,71.7111,71.7632,75.5306,76.0877,80.2336,81.908,83.1247,83.1492,84.6694,85.9238,87.5149,88.0488,88.1585,95.7013,101.832,106.956,109.278,116.509,116.901,118.478,129.602,152.416,158.147,164.347,173.799,195.392,217.496
-9.34403,0.718222,0.369154,3,7,0,12.0269,0.682861,0.289136,70.4727,71.139,72.1729,73.9872,74.3258,75.0912,75.1299,77.9516,78.3723,81.5272,82.8132,83.7515,83.7705,84.9474,85.9224,87.1634,87.5809,87.6668,93.6214,98.5272,102.667,104.553,110.463,110.785,112.082,121.287,140.424,145.272,150.534,158.583,177.07,196.107
-8.81793,0.736068,0.369154,2,3,0,12.2938,0.671292,0.340846,69.6562,70.4236,71.612,73.6911,74.0783,74.9525,74.9967,78.2087,78.6862,82.2571,83.7077,84.7647,84.786,86.1098,87.2047,88.5968,89.0646,89.1607,95.8095,101.259,105.84,107.923,114.434,114.788,116.213,126.304,147.168,152.435,158.145,166.866,186.852,207.381
-10.7333,0.575008,0.369154,2,3,0,11.1936,0.655455,0.309927,67.7927,68.4766,69.5368,71.3951,71.7416,72.5245,72.5641,75.4463,75.8754,79.0904,80.399,81.3533,81.3726,82.5688,83.5591,84.819,85.2427,85.3298,91.3635,96.3236,100.503,102.405,108.359,108.684,109.989,119.243,138.438,143.294,148.561,156.613,175.088,194.092
-8.86087,0.915501,0.369154,2,7,0,11.6815,0.683602,0.328142,70.8393,71.5928,72.7603,74.8042,75.185,76.0451,76.0886,79.2513,79.7217,83.2425,84.674,85.7173,85.7383,87.0455,88.1271,89.5025,89.9649,90.0599,96.6364,102.033,106.574,108.639,115.099,115.451,116.866,126.889,147.638,152.881,158.565,167.251,187.165,207.631
-9.73446,0.82039,0.369154,1,3,0,9.76849,0.690092,0.347123,71.6539,72.4567,73.6997,75.8735,76.2782,77.1919,77.2381,80.5937,81.0923,84.8204,86.3344,87.4372,87.4594,88.8405,89.9827,91.4345,91.9223,92.0226,98.9533,104.63,109.402,111.57,118.347,118.716,120.199,130.696,152.389,157.863,163.796,172.858,193.619,214.939
-9.79158,0.929005,0.369154,2,3,0,10.8221,0.649045,0.345613,67.3813,68.1332,69.2975,71.3337,71.7128,72.5688,72.6121,75.756,76.2231,79.7166,81.1354,82.1689,82.1898,83.4841,84.5546,85.9154,86.3726,86.4666,92.9635,98.286,102.76,104.793,111.148,111.494,112.884,122.73,143.077,148.212,153.778,162.279,181.756,201.759
-11.3759,0.881333,0.369154,2,7,0,12.9752,0.628427,0.366225,65.381,66.1506,67.3413,69.4213,69.8082,70.6814,70.7256,73.9288,74.4043,77.9562,79.3969,80.4459,80.467,81.78,82.8653,84.2443,84.7075,84.8027,91.3757,96.7508,101.263,103.312,109.711,110.059,111.459,121.356,141.774,146.922,152.498,161.011,180.503,200.504
-10.556,0.986966,0.369154,3,11,0,11.6417,0.672588,0.280943,69.3524,69.9908,70.9815,72.721,73.0458,73.78,73.8172,76.5255,76.9294,79.9605,81.1966,82.0989,82.1171,83.2491,84.1869,85.3811,85.7828,85.8655,91.5996,96.3278,100.32,102.14,107.845,108.156,109.408,118.3,136.807,141.499,146.592,154.384,172.29,190.737
