# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 10:21:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpseqr2vt3/mculhrra.json
# init = /tmp/tmpseqr2vt3/mi8fyus0.json
# random
#   seed = 77511
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CC/CC-20230724112113.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.370598
# Diagonal elements of inverse mass matrix:
# 0.00214111, 0.0360033
-10.2627,0.800052,0.370598,2,3,0,10.9342,0.669606,0.396468,69.884,70.7685,72.1356,74.5197,74.9626,75.9617,76.0122,79.6705,80.2127,84.2569,85.8945,87.0859,87.1099,88.6,89.8309,91.3938,91.9185,92.0264,99.4595,105.523,110.604,112.909,120.1,120.491,122.061,133.159,155.996,161.744,167.969,177.465,199.188,221.455
-9.19457,1,0.370598,2,3,0,10.0514,0.658342,0.342462,68.324,69.08,70.2507,72.2987,72.68,73.541,73.5846,76.7478,77.218,80.7341,82.1623,83.2029,83.2238,84.5271,85.605,86.9753,87.4358,87.5304,94.0745,99.4372,103.945,105.995,112.401,112.749,114.151,124.078,144.6,149.78,155.395,163.972,183.625,203.811
-8.96195,0.953724,0.370598,2,7,0,9.56606,0.672056,0.355085,69.8392,70.6382,71.875,74.0368,74.4391,75.3473,75.3933,78.7272,79.2223,82.9233,84.4254,85.5195,85.5415,86.9113,88.0439,89.4832,89.9668,90.0662,96.9332,102.554,107.276,109.421,116.123,116.488,117.954,128.329,149.753,155.157,161.013,169.955,190.437,211.463
-11.1081,0.666057,0.370598,2,7,0,12.2156,0.6741,0.270588,69.4321,70.049,71.007,72.69,73.0043,73.7152,73.7512,76.3752,76.7668,79.7071,80.9071,81.7832,81.8009,82.9005,83.8118,84.9724,85.363,85.4434,91.0224,95.6281,99.5204,101.295,106.863,107.167,108.389,117.078,135.184,139.779,144.768,152.403,169.959,188.055
-9.6225,0.784656,0.370598,1,3,0,13.2949,0.700402,0.322457,72.537,73.2961,74.4726,76.5329,76.9169,77.7842,77.8281,81.0186,81.4933,85.0473,86.4928,87.5465,87.5677,88.8881,89.9808,91.3705,91.8377,91.9338,98.5819,104.04,108.635,110.725,117.265,117.621,119.053,129.205,150.234,155.549,161.312,170.12,190.319,211.084
-9.93023,0.918825,0.370598,3,9,0,10.8182,0.65208,0.333872,67.6134,68.3442,69.4762,71.4574,71.8265,72.6599,72.7021,75.7656,76.2211,79.6295,81.0147,82.0241,82.0445,83.309,84.3552,85.6854,86.1325,86.2244,92.5815,97.7952,102.181,104.175,110.411,110.75,112.115,121.785,141.793,146.847,152.325,160.694,179.88,199.592
-11.0002,0.903587,0.370598,2,7,0,12.3488,0.707322,0.334855,73.3489,74.1438,75.3752,77.5302,77.9315,78.838,78.8839,82.2156,82.711,86.4173,87.9235,89.0211,89.0433,90.4182,91.5557,93.002,93.4881,93.588,100.499,106.167,110.934,113.101,119.879,120.248,121.732,132.241,153.984,159.475,165.428,174.522,195.368,216.786
-11.2249,0.973936,0.370598,2,3,0,11.7156,0.665048,0.284076,68.5977,69.2356,70.2257,71.9637,72.2881,73.0216,73.0587,75.7635,76.1669,79.1929,80.4267,81.3272,81.3454,82.475,83.4108,84.6023,85.0032,85.0856,90.8051,95.5197,99.4996,101.313,106.998,107.308,108.556,117.415,135.844,140.515,145.585,153.341,171.162,189.517
-10.869,0.99367,0.370598,2,7,0,12.2749,0.674972,0.397284,70.45,71.3433,72.724,75.1318,75.5791,76.588,76.639,80.3332,80.8807,84.9644,86.6178,87.8207,87.8449,89.3494,90.5922,92.1701,92.6999,92.8088,100.313,106.434,111.563,113.89,121.148,121.543,123.128,134.329,157.378,163.179,169.461,179.045,200.967,223.438
-10.3058,1,0.370598,3,7,0,12.0478,0.628915,0.395622,65.6315,66.4606,67.742,69.9768,70.392,71.3286,71.376,74.8056,75.3139,79.1056,80.6411,81.7581,81.7806,83.1778,84.332,85.7975,86.2895,86.3906,93.361,99.0471,103.812,105.975,112.719,113.085,114.558,124.967,146.389,151.781,157.62,166.528,186.906,207.796
