# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 13:42:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpnyslm103/hi0c7hrz.json
# init = /tmp/tmpnyslm103/eun7fobf.json
# random
#   seed = 94167
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CMB/CMB-20230724144208.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,E,dE,I,dI,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.039449
# Diagonal elements of inverse mass matrix:
# 0.000125003, 1.04447e-05, 6.61836e-05
-1.20958,0.884432,0.039449,2,3,0,1.51259,0.738639,0.0410616,0.214855,4.15e-05,7.60647e-05,0.415523,0.060864,0.548056,1091.57,0.738639,0.0410616,0.214855,7.60647e-05,0.415523,1091.57,1,0.272593,0,1,21027.5,3.43423,0.0357901,301.451,1.73732,0.0224027,-0.118953,-0.00338419,0.000122742
-1.5039,0.986723,0.039449,6,83,0,2.84658,0.725546,0.0420822,0.226017,4.15e-05,7.88349e-05,0.411111,0.0613853,0.548291,1092.06,0.725546,0.0420822,0.226017,7.88349e-05,0.411111,1092.06,1,0.287723,0,1,21509.7,3.36996,0.0350903,301.709,1.74491,0.0221528,0.138804,0.00420757,-0.000127236
-1.28968,0.91683,0.039449,3,7,0,2.47082,0.725935,0.0420782,0.225761,4.15e-05,7.87503e-05,0.411205,0.0613397,0.548271,1092.03,0.725935,0.0420782,0.225761,7.87503e-05,0.411205,1092.03,1,0.287398,0,1,21498,3.37129,0.0351056,301.697,1.74475,0.0221745,0.126635,0.00405214,-0.000105533
-0.398991,0.99926,0.039449,6,99,0,2.05371,0.733847,0.0413408,0.218699,4.15e-05,7.70615e-05,0.414034,0.0611536,0.548187,1091.8,0.733847,0.0413408,0.218699,7.70615e-05,0.414034,1091.8,1,0.277691,0,1,21195.9,3.41202,0.0355482,301.539,1.73993,0.0222633,-0.0312246,-0.000772182,-1.66976e-05
-1.14304,0.917817,0.039449,4,31,0,1.92485,0.73575,0.0414982,0.217356,4.15e-05,7.66634e-05,0.414463,0.0607373,0.547998,1091.52,0.73575,0.0414982,0.217356,7.66634e-05,0.414463,1091.52,1,0.276222,0,1,21137.2,3.41837,0.0356103,301.573,1.73919,0.0224641,0.00345016,-0.0015116,0.000184144
-0.682036,0.982845,0.039449,5,63,0,3.29713,0.732502,0.0413544,0.21982,4.15e-05,7.73448e-05,0.413624,0.061309,0.548257,1091.92,0.732502,0.0413544,0.21982,7.73448e-05,0.413624,1091.92,1,0.279098,0,1,21244,3.40599,0.035486,301.534,1.74064,0.0221891,-0.0360247,-6.14153e-05,-9.0923e-05
-0.448075,0.8964,0.039449,3,7,0,1.33383,0.732634,0.0414332,0.219483,4.15e-05,7.73167e-05,0.413717,0.0612035,0.54821,1091.84,0.732634,0.0414332,0.219483,7.73167e-05,0.413717,1091.84,1,0.278778,0,1,21232.6,3.40735,0.0354919,301.604,1.74047,0.0222394,0.0339127,-0.000227941,-4.05824e-05
-1.67742,0.883843,0.039449,2,7,0,2.7067,0.733587,0.0416762,0.220067,4.15e-05,7.7116e-05,0.413418,0.0608117,0.548032,1091.64,0.733587,0.0416762,0.220067,7.7116e-05,0.413418,1091.64,1,0.279803,0,1,21244.9,3.40304,0.0354632,301.466,1.74102,0.022428,-0.103539,0.000323618,0.000148025
-2.24666,0.600683,0.039449,3,7,0,5.79322,0.733918,0.0417663,0.218954,4.15e-05,7.70465e-05,0.413788,0.0606701,0.547967,1091.5,0.733918,0.0417663,0.218954,7.70465e-05,0.413788,1091.5,1,0.278534,0,1,21206.9,3.40842,0.0354979,301.648,1.74037,0.0224968,0.0776391,-0.000334982,0.000216827
-2.1291,0.996257,0.039449,2,7,0,3.01047,0.733659,0.0410734,0.218649,4.15e-05,7.71009e-05,0.414149,0.0614797,0.548333,1092.01,0.733659,0.0410734,0.218649,7.71009e-05,0.414149,1092.01,1,0.277298,0,1,21194,3.4137,0.0355737,301.471,1.73972,0.022108,-0.0988966,-0.000978279,-0.000172023
-0.903555,0.999392,0.039449,5,63,0,2.95131,0.735516,0.0414553,0.217776,4.15e-05,7.67121e-05,0.414326,0.0608145,0.548033,1091.59,0.735516,0.0414553,0.217776,7.67121e-05,0.414326,1091.59,1,0.276689,0,1,21152.4,3.41636,0.0355962,301.516,1.73943,0.0224267,-0.0543894,-0.00126827,0.000146673
-3.77665,0.631844,0.039449,3,7,0,6.15693,0.73677,0.0416432,0.217627,4.15e-05,7.64512e-05,0.414313,0.0604485,0.547864,1091.38,0.73677,0.0416432,0.217627,7.64512e-05,0.414313,1091.38,1,0.276736,0,1,21138.2,3.4162,0.0356029,301.445,1.73948,0.0226052,-0.125339,-0.00122086,0.000325167
-3.02752,1,0.039449,2,3,0,3.93798,0.736683,0.0416445,0.217309,4.15e-05,7.64692e-05,0.414427,0.0604579,0.547868,1091.37,0.736683,0.0416445,0.217309,7.64692e-05,0.414427,1091.37,1,0.276345,0,1,21128.7,3.41787,0.0356124,301.512,1.73927,0.0226006,-0.0581521,-0.00142985,0.00032057
-0.610779,0.98487,0.039449,2,3,0,3.15463,0.735899,0.0412858,0.217171,4.15e-05,7.66323e-05,0.414606,0.0609562,0.548098,1091.66,0.735899,0.0412858,0.217171,7.66323e-05,0.414606,1091.66,1,0.27573,0,1,21128.2,3.4205,0.0356407,301.504,1.73893,0.0223582,-0.0662035,-0.00176577,7.82073e-05
-0.922274,0.936986,0.039449,3,7,0,2.23685,0.735672,0.0410406,0.21679,4.15e-05,7.66795e-05,0.414832,0.0612615,0.548236,1091.84,0.735672,0.0410406,0.21679,7.66795e-05,0.414832,1091.84,1,0.274957,0,1,21115.9,3.42383,0.0356751,301.507,1.73852,0.0222118,-0.0630388,-0.00217787,-6.82487e-05
-0.47841,0.973672,0.039449,6,87,0,2.1682,0.736532,0.0412262,0.216344,4.15e-05,7.65006e-05,0.414926,0.0609434,0.548092,1091.63,0.736532,0.0412262,0.216344,7.65006e-05,0.414926,1091.63,1,0.274635,0,1,21095.4,3.42526,0.0356861,301.539,1.73836,0.0223644,-0.0308661,-0.00233529,8.43789e-05
-0.828996,0.977689,0.039449,3,7,0,1.30763,0.736245,0.041387,0.216927,4.15e-05,7.65602e-05,0.414658,0.0607992,0.548026,1091.56,0.736245,0.041387,0.216927,7.65602e-05,0.414658,1091.56,1,0.275553,0,1,21118.1,3.42127,0.0356447,301.538,1.73885,0.0224341,-0.0317635,-0.00185454,0.000154086
-4.09751,0.457449,0.039449,2,3,0,6.55274,0.735836,0.0415512,0.216454,4.15e-05,7.66454e-05,0.41477,0.0606676,0.547966,1091.44,0.735836,0.0415512,0.216454,7.66454e-05,0.41477,1091.44,1,0.275172,0,1,21107.7,3.42289,0.0356378,301.739,1.73863,0.0224981,0.169408,-0.00206934,0.000218051
-1.749,0.999516,0.039449,4,27,0,4.17655,0.738619,0.0412138,0.214223,4.15e-05,7.6069e-05,0.415696,0.0606955,0.547979,1091.43,0.738619,0.0412138,0.214223,7.6069e-05,0.415696,1091.43,1,0.272002,0,1,21008.4,3.43681,0.0357965,301.624,1.73699,0.0224845,0.0539838,-0.00370687,0.000204494
-2.33425,0.954366,0.039449,2,7,0,3.31028,0.737917,0.0406245,0.214121,4.15e-05,7.62138e-05,0.415945,0.0614524,0.548321,1091.9,0.737917,0.0406245,0.214121,7.62138e-05,0.415945,1091.9,1,0.271151,0,1,21006.4,3.44055,0.0358489,301.51,1.73653,0.0221209,-0.059692,-0.00417188,-0.000159091
-1.48435,0.910194,0.039449,2,3,0,2.95413,0.737747,0.0408442,0.214081,4.15e-05,7.62489e-05,0.41588,0.0612227,0.548218,1091.74,0.737747,0.0408442,0.214081,7.62489e-05,0.41588,1091.74,1,0.271372,0,1,21008.3,3.43956,0.035825,301.625,1.73664,0.0222303,0.0550017,-0.00405962,-4.97494e-05
-3.70771,0.773348,0.039449,2,7,0,3.89896,0.737339,0.0409026,0.213874,4.15e-05,7.63332e-05,0.415934,0.0612076,0.548212,1091.71,0.737339,0.0409026,0.213874,7.63332e-05,0.415934,1091.71,1,0.271189,0,1,21005.6,3.44035,0.0358195,301.74,1.73653,0.0222375,0.169833,-0.0041688,-4.25261e-05
-3.20467,0.985556,0.039449,4,19,0,5.23753,0.740013,0.0412139,0.214402,4.15e-05,7.57826e-05,0.415631,0.0605212,0.547898,1091.36,0.740013,0.0412139,0.214402,7.57826e-05,0.415631,1091.36,1,0.272223,0,1,21002.2,3.4359,0.035813,301.405,1.73714,0.0225695,-0.165426,-0.00355864,0.000289535
-2.68955,0.988142,0.039449,3,7,0,3.76757,0.739284,0.0406359,0.212256,4.15e-05,7.5932e-05,0.416612,0.0612668,0.548238,1091.72,0.739284,0.0406359,0.212256,7.5932e-05,0.416612,1091.72,1,0.268869,0,1,20933.8,3.45072,0.0359371,301.66,1.73531,0.0222092,0.0897104,-0.00538944,-7.07957e-05
-1.27665,1,0.039449,3,15,0,2.87234,0.739642,0.041077,0.213967,4.15e-05,7.58587e-05,0.415837,0.0607211,0.54799,1091.46,0.739642,0.041077,0.213967,7.58587e-05,0.415837,1091.46,1,0.271518,0,1,20990.1,3.43899,0.0358364,301.478,1.73675,0.022472,-0.0920313,-0.00394527,0.000192017
-2.20128,0.865375,0.039449,5,39,0,4.39944,0.74583,0.0404448,0.208229,4.15e-05,7.46052e-05,0.418127,0.060668,0.547966,1091.32,0.74583,0.0404448,0.208229,7.46052e-05,0.418127,1091.32,1,0.263698,0,1,20744,3.47438,0.0362118,301.423,1.73258,0.0224979,-0.146646,-0.00812313,0.000217875
