# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 13:42:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpnyslm103/hi0c7hrz.json
# init = /tmp/tmpnyslm103/eun7fobf.json
# random
#   seed = 94167
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CMB/CMB-20230724144208.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,E,dE,I,dI,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0370085
# Diagonal elements of inverse mass matrix:
# 0.000122705, 1.04453e-05, 6.65254e-05
-2.06646,0.861129,0.0370085,2,7,0,3.36936,0.736187,0.0407947,0.215795,4.15e-05,7.65723e-05,0.41528,0.0614764,0.548332,1091.94,0.736187,0.0407947,0.215795,7.65723e-05,0.41528,1091.94,1,0.273423,0,1,21077.2,3.43052,0.0357436,301.517,1.73772,0.0221095,-0.0530535,-0.00298356,-0.000170459
-1.85261,0.873956,0.0370085,5,35,0,4.08561,0.732057,0.0412226,0.219214,4.15e-05,7.74388e-05,0.41389,0.0615145,0.548348,1092.01,0.732057,0.0412226,0.219214,7.74388e-05,0.41389,1092.01,1,0.278183,0,1,21227.4,3.40985,0.0355126,301.65,1.74015,0.0220915,0.079696,-0.000548184,-0.000188483
-0.556309,0.992607,0.0370085,4,31,0,2.45283,0.734467,0.0412787,0.21767,4.15e-05,7.69314e-05,0.414429,0.0611449,0.548183,1091.77,0.734467,0.0412787,0.21767,7.69314e-05,0.414429,1091.77,1,0.27634,0,1,21156.8,3.41782,0.0356004,301.609,1.73923,0.0222675,0.0391043,-0.00147208,-1.25349e-05
-0.909932,0.971392,0.0370085,5,39,0,1.61228,0.730871,0.0414499,0.221286,4.15e-05,7.76903e-05,0.413058,0.0614093,0.548302,1092.01,0.730871,0.0414499,0.221286,7.76903e-05,0.413058,1092.01,1,0.281036,0,1,21306.3,3.39776,0.0353993,301.542,1.74161,0.0221414,-0.0282804,0.000912851,-0.000138628
-1.47742,0.982729,0.0370085,6,95,0,2.73885,0.723977,0.0422989,0.228821,4.15e-05,7.91768e-05,0.41001,0.0613476,0.548274,1092.12,0.723977,0.0422989,0.228821,7.91768e-05,0.41001,1092.12,1,0.291506,0,1,21614.4,3.35469,0.0349511,301.538,1.74676,0.0221707,-0.0323676,0.00606019,-0.000109321
-2.8935,0.9027,0.0370085,2,3,0,3.07554,0.72421,0.0422861,0.229087,4.15e-05,7.9126e-05,0.409918,0.0613318,0.548267,1092.13,0.72421,0.0422861,0.229087,7.9126e-05,0.409918,1092.13,1,0.291824,0,1,21620.6,3.35344,0.0349474,301.457,1.74692,0.0221782,-0.113184,0.00622265,-0.000101758
-1.84998,0.849194,0.0370085,2,3,0,5.20553,0.724612,0.0423311,0.22855,4.15e-05,7.90382e-05,0.410097,0.0612306,0.548222,1092.05,0.724612,0.0423311,0.22855,7.90382e-05,0.410097,1092.05,1,0.291207,0,1,21600.3,3.35591,0.0349673,301.507,1.74662,0.0222265,-0.0626929,0.00592469,-5.3506e-05
-1.53253,0.977303,0.0370085,2,7,0,3.8974,0.724422,0.0421502,0.228142,4.15e-05,7.90797e-05,0.410312,0.0614546,0.548322,1092.17,0.724422,0.0421502,0.228142,7.90797e-05,0.410312,1092.17,1,0.290468,0,1,21587.8,3.35886,0.034995,301.534,1.74626,0.0221199,-0.036246,0.00555693,-0.000160121
-1.08735,0.995778,0.0370085,5,47,0,2.81898,0.730876,0.0418578,0.221539,4.15e-05,7.76893e-05,0.412819,0.0609534,0.548097,1091.72,0.730876,0.0418578,0.221539,7.76893e-05,0.412819,1091.72,1,0.281858,0,1,21317.5,3.3943,0.0353504,301.652,1.74203,0.0223596,0.0822373,0.00133132,7.95617e-05
-0.562612,0.980358,0.0370085,6,87,0,2.01532,0.734899,0.0411781,0.217253,4.15e-05,7.68409e-05,0.414616,0.0612038,0.54821,1091.8,0.734899,0.0411781,0.217253,7.68409e-05,0.414616,1091.8,1,0.275699,0,1,21138.7,3.4206,0.0356322,301.584,1.7389,0.0222393,0.0143132,-0.00180136,-4.06842e-05
-0.635263,0.99255,0.0370085,5,39,0,0.990154,0.7343,0.0414941,0.218788,4.15e-05,7.69665e-05,0.413947,0.0609246,0.548084,1091.67,0.7343,0.0414941,0.218788,7.69665e-05,0.413947,1091.67,1,0.27799,0,1,21196,3.41075,0.0355372,301.52,1.74009,0.0223734,-0.0496353,-0.000607735,9.34343e-05
-0.486907,0.996214,0.0370085,6,79,0,1.35037,0.730342,0.0416712,0.221731,4.15e-05,7.78029e-05,0.412817,0.0612287,0.548221,1091.9,0.730342,0.0416712,0.221731,7.78029e-05,0.412817,1091.9,1,0.281865,0,1,21326.9,3.39426,0.0353535,301.622,1.74203,0.0222274,0.0517983,0.00132684,-5.26119e-05
-0.977954,0.987239,0.0370085,5,47,0,1.73232,0.737273,0.0413165,0.215956,4.15e-05,7.63468e-05,0.415034,0.0607489,0.548003,1091.51,0.737273,0.0413165,0.215956,7.63468e-05,0.415034,1091.51,1,0.274267,0,1,21077.1,3.42688,0.0357027,301.541,1.73818,0.0224585,-0.0287013,-0.00251829,0.00017851
-1.00823,0.712887,0.0370085,2,3,0,3.72262,0.737798,0.0412487,0.215592,4.15e-05,7.62382e-05,0.41519,0.0607591,0.548008,1091.51,0.737798,0.0412487,0.215592,7.62382e-05,0.41519,1091.51,1,0.273734,0,1,21060.2,3.42921,0.0357311,301.508,1.73791,0.0224536,-0.06222,-0.00279176,0.000173578
-0.472157,1,0.0370085,4,31,0,1.22792,0.735747,0.0413091,0.217165,4.15e-05,7.6664e-05,0.4146,0.0609491,0.548095,1091.65,0.735747,0.0413091,0.217165,7.6664e-05,0.4146,1091.65,1,0.275752,0,1,21129.5,3.4204,0.0356361,301.534,1.73894,0.0223616,-0.0356182,-0.00175773,8.15927e-05
-1.07443,0.961015,0.0370085,6,71,0,2.78134,0.725359,0.0419912,0.226519,4.15e-05,7.88755e-05,0.410961,0.0615104,0.548347,1092.16,0.725359,0.0419912,0.226519,7.88755e-05,0.410961,1092.16,1,0.288238,0,1,21526.7,3.36787,0.0350793,301.616,1.74516,0.0220935,0.0461354,0.00446439,-0.000186542
-1.57841,0.906497,0.0370085,3,15,0,3.13689,0.7271,0.0422893,0.226183,4.15e-05,7.84983e-05,0.410975,0.0609581,0.548099,1091.83,0.7271,0.0422893,0.226183,7.84983e-05,0.410975,1091.83,1,0.288189,0,1,21502.6,3.36813,0.0350902,301.546,1.74517,0.0223573,-0.0244681,0.00447068,7.72657e-05
-2.38814,0.982543,0.0370085,6,79,0,4.43157,0.740016,0.0411846,0.21411,4.15e-05,7.57821e-05,0.415747,0.0605538,0.547913,1091.37,0.740016,0.0411846,0.21411,7.57821e-05,0.415747,1091.37,1,0.271826,0,1,20992.4,3.43765,0.0358265,301.444,1.73693,0.0225536,-0.125736,-0.00377274,0.000273617
-2.77094,0.973806,0.0370085,1,1,0,2.81209,0.740124,0.0412109,0.214138,4.15e-05,7.57599e-05,0.415728,0.0605108,0.547893,1091.35,0.740124,0.0412109,0.214138,7.57599e-05,0.415728,1091.35,1,0.271893,0,1,20992.6,3.43735,0.0358245,301.435,1.73697,0.0225746,-0.135027,-0.00373468,0.000294628
-3.91096,0.938064,0.0370085,2,3,0,4.23229,0.740172,0.0413899,0.213842,4.15e-05,7.57501e-05,0.41577,0.0603053,0.547797,1091.2,0.740172,0.0413899,0.213842,7.57501e-05,0.41577,1091.2,1,0.271749,0,1,20984.1,3.43798,0.0358174,301.55,1.73689,0.0226756,-0.0196743,-0.00381488,0.000395637
-2.15601,1,0.0370085,2,3,0,4.1965,0.739899,0.0412336,0.213927,4.15e-05,7.5806e-05,0.415795,0.0605134,0.547894,1091.33,0.739899,0.0412336,0.213927,7.5806e-05,0.415795,1091.33,1,0.271662,0,1,20987.9,3.43836,0.035826,301.511,1.73684,0.0225734,-0.0588296,-0.00386491,0.000293358
-0.744103,0.846916,0.0370085,3,7,0,3.30803,0.738883,0.0408783,0.213959,4.15e-05,7.60145e-05,0.415912,0.0610408,0.548136,1091.65,0.738883,0.0408783,0.213959,7.60145e-05,0.415912,1091.65,1,0.271263,0,1,20994.7,3.44009,0.0358447,301.505,1.7366,0.0223175,-0.0649005,-0.00409537,3.74577e-05
-0.439177,0.942155,0.0370085,4,31,0,1.42978,0.73663,0.0411459,0.216086,4.15e-05,7.64802e-05,0.415049,0.0610215,0.548128,1091.67,0.73663,0.0411459,0.216086,7.64802e-05,0.415049,1091.67,1,0.274216,0,1,21085.5,3.42708,0.035705,301.54,1.73814,0.0223267,-0.0298804,-0.00255572,4.67428e-05
-0.78203,0.972426,0.0370085,5,39,0,1.00012,0.738615,0.040849,0.214019,4.15e-05,7.60697e-05,0.415901,0.0611078,0.548167,1091.69,0.738615,0.040849,0.214019,7.60697e-05,0.415901,1091.69,1,0.2713,0,1,20998.8,3.43991,0.0358411,301.52,1.73662,0.0222853,-0.0503092,-0.00408033,5.28613e-06
-1.10333,0.962624,0.0370085,6,79,0,2.01223,0.729543,0.0415381,0.222048,4.15e-05,7.79733e-05,0.41275,0.0614798,0.548333,1092.05,0.729543,0.0415381,0.222048,7.79733e-05,0.41275,1092.05,1,0.282094,0,1,21343.2,3.39328,0.0353427,301.627,1.74213,0.022108,0.0567928,0.00143125,-0.000172043
-0.429931,0.985982,0.0370085,2,7,0,1.87943,0.730198,0.0418063,0.22237,4.15e-05,7.78336e-05,0.412536,0.0610966,0.548162,1091.84,0.730198,0.0418063,0.22237,7.78336e-05,0.412536,1091.84,1,0.282828,0,1,21349.7,3.39024,0.0353161,301.584,1.74252,0.0222907,0.0135488,0.00181829,1.0667e-05
-0.91616,0.934108,0.0370085,5,35,0,1.16435,0.727477,0.0419511,0.225206,4.15e-05,7.84169e-05,0.411453,0.061283,0.548245,1092.01,0.727477,0.0419511,0.225206,7.84169e-05,0.411453,1092.01,1,0.286545,0,1,21465.6,3.37483,0.0351617,301.53,1.74436,0.0222015,-0.0395025,0.00365604,-7.85095e-05
-1.26609,0.974394,0.0370085,6,71,0,2.29774,0.737531,0.041098,0.215847,4.15e-05,7.62935e-05,0.415152,0.0609622,0.548101,1091.65,0.737531,0.041098,0.215847,7.62935e-05,0.415152,1091.65,1,0.273863,0,1,21069.6,3.42865,0.0357331,301.441,1.73797,0.0223553,-0.128839,-0.00272533,7.53202e-05
-1.08165,0.987947,0.0370085,6,87,0,1.76809,0.725081,0.042036,0.226987,4.15e-05,7.8936e-05,0.410774,0.0614964,0.54834,1092.16,0.725081,0.042036,0.226987,7.8936e-05,0.410774,1092.16,1,0.288879,0,1,21544.4,3.36527,0.0350549,301.593,1.74548,0.0221001,0.0228938,0.00477943,-0.000179906
-0.961442,0.952657,0.0370085,6,87,0,2.76101,0.733925,0.0413771,0.219113,4.15e-05,7.70451e-05,0.413871,0.061103,0.548164,1091.79,0.733925,0.0413771,0.219113,7.70451e-05,0.413871,1091.79,1,0.278248,0,1,21208.9,3.40964,0.0355316,301.47,1.74022,0.0222876,-0.0995518,-0.000477632,7.59712e-06
-0.992678,0.946645,0.0370085,5,47,0,2.01016,0.730148,0.0415226,0.222077,4.15e-05,7.78442e-05,0.412745,0.0614198,0.548306,1092.03,0.730148,0.0415226,0.222077,7.78442e-05,0.412745,1092.03,1,0.282111,0,1,21338.6,3.39323,0.0353532,301.533,1.74215,0.0221364,-0.0370244,0.00145259,-0.000143617
-1.60074,0.99119,0.0370085,4,31,0,2.27905,0.728003,0.0416913,0.22329,4.15e-05,7.83036e-05,0.412244,0.0615052,0.548344,1092.08,0.728003,0.0416913,0.22329,7.83036e-05,0.412244,1092.08,1,0.283831,0,1,21397.8,3.386,0.0352601,301.685,1.74299,0.0220959,0.114781,0.00228944,-0.000184067
-2.00785,0.989732,0.0370085,5,39,0,2.71498,0.724365,0.0426004,0.228745,4.15e-05,7.90921e-05,0.409928,0.0609677,0.548103,1091.88,0.724365,0.0426004,0.228745,7.90921e-05,0.409928,1091.88,1,0.29179,0,1,21610.7,3.35357,0.0349311,301.61,1.7469,0.0223526,0.0395879,0.00620318,7.26239e-05
-1.24264,0.942122,0.0370085,3,15,0,3.22522,0.723139,0.0422573,0.228991,4.15e-05,7.93606e-05,0.409963,0.0615017,0.548343,1092.2,0.723139,0.0422573,0.228991,7.93606e-05,0.409963,1092.2,1,0.291668,0,1,21627,3.35402,0.0349358,301.61,1.74682,0.0220976,0.0395591,0.00612329,-0.000182411
-1.87615,0.962301,0.0370085,2,3,0,2.0526,0.722937,0.042156,0.228498,4.15e-05,7.94048e-05,0.41018,0.0616399,0.548404,1092.27,0.722937,0.042156,0.228498,7.94048e-05,0.41018,1092.27,1,0.290923,0,1,21612.5,3.35698,0.0349583,301.682,1.74645,0.0220323,0.111605,0.00575159,-0.000247669
