# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 11:09:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpktel93p0/ieqht_a3.json
# init = /tmp/tmpktel93p0/jbv7kn3x.json
# random
#   seed = 28102
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/SS/LISA/SS-20230724120926.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,k,lambda,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,E,intofEinv,correction,dGW.1,dGW.2,dGW.3,dGW.4,dGW.5,dGW.6,dGW.7,dGW.8,dGW.9,dGW.10,dGW.11,dGW.12,dGW.13,dGW.14,dGW.15
# Adaptation terminated
# Step size = 0.44314
# Diagonal elements of inverse mass matrix:
# 0.000139247, 0.000855605
-9.51282,0.999257,0.44314,2,3,0,9.60958,0.693806,0.295091,2.9979,0.401218,0.321859,1.08055,1.21368,2.30743,2.46265,2.47163,2.50252,2.95556,4.31114,4.31767,4.37061,4.44213,5.94622,7.58573,9.39035,10.4219,0.196563,0.403003,1.07449,1.12644,1.1293,1.13901,1.26395,1.51772,1.51866,1.52626,1.53632,1.70748,1.83757,1.94297,1.99172,10.4219,1.99172,0.945713,1.00514,2.42554,11.1999,12.3081,12.3716,12.5899,15.7197,24.4939,24.5345,24.8629,25.3051,34.2665,43.442,53,58.256
-9.33149,1,0.44314,1,1,0,9.48989,0.694843,0.295865,2.9979,0.40093,0.322858,1.08079,1.21429,2.3101,2.46555,2.47454,2.50549,2.95918,4.31663,4.32317,4.37619,4.44779,5.95391,7.59559,9.4026,10.4355,0.196542,0.402906,1.07379,1.12568,1.12854,1.13824,1.26303,1.51648,1.51742,1.52501,1.53506,1.706,1.83592,1.94118,1.98987,10.4355,1.98987,0.945804,1.00353,2.42135,11.1769,12.2825,12.346,12.5637,15.6863,24.4398,24.4802,24.8079,25.249,34.1889,43.3424,52.8773,58.1206
-10.0341,0.966751,0.44314,3,7,0,10.3872,0.693103,0.313748,2.9979,0.394237,0.346157,1.0865,1.22861,2.37094,2.53169,2.54098,2.57296,3.04153,4.44147,4.44821,4.50285,4.57666,6.12859,7.81975,9.68096,10.7448,0.196046,0.400672,1.05815,1.1087,1.11148,1.12093,1.24239,1.48883,1.48975,1.49712,1.50689,1.67299,1.79919,1.90142,1.94872,10.7448,1.94872,0.947895,1.00335,2.4146,11.0641,12.1526,12.215,12.4294,15.5017,24.1072,24.147,24.4689,24.9024,33.6856,42.6759,52.0392,57.1875
-10.6183,0.905838,0.44314,2,3,0,10.8033,0.689262,0.303662,2.9979,0.398023,0.33296,1.08327,1.22053,2.33681,2.49459,2.50372,2.53512,2.99536,4.3715,4.37813,4.43186,4.50443,6.03069,7.69413,9.52497,10.5714,0.196326,0.401931,1.06688,1.11817,1.12099,1.13058,1.25388,1.50421,1.50514,1.51263,1.52255,1.69133,1.81959,1.9235,1.97156,10.5714,1.97156,0.946719,1.01046,2.43528,11.2047,12.3104,12.3738,12.5915,15.7134,24.4617,24.5021,24.8295,25.2703,34.2023,43.3465,52.871,58.1083
-10.9271,0.949283,0.44314,1,1,0,11.0194,0.688364,0.303551,2.9979,0.398065,0.332815,1.08323,1.22044,2.33643,2.49418,2.50331,2.5347,2.99485,4.37072,4.37735,4.43107,4.50363,6.0296,7.69273,9.52323,10.5695,0.196329,0.401945,1.06697,1.11828,1.1211,1.13069,1.25401,1.50438,1.50531,1.51281,1.52273,1.69154,1.81982,1.92375,1.97182,10.5695,1.97182,0.946706,1.0118,2.43854,11.2202,12.3275,12.391,12.609,15.7353,24.4961,24.5366,24.8644,25.3058,34.2507,43.4079,52.9461,58.1908
-10.6388,0.988249,0.44314,3,7,0,11.3686,0.69914,0.315794,2.9979,0.393465,0.348853,1.08715,1.23025,2.37781,2.53915,2.54848,2.58058,3.05082,4.45553,4.46229,4.51712,4.59117,6.14826,7.84499,9.71231,10.7796,0.195989,0.400418,1.05641,1.10681,1.10958,1.119,1.2401,1.48578,1.48669,1.49404,1.50378,1.66935,1.79515,1.89705,1.94419,10.7796,1.94419,0.948133,0.99438,2.39232,10.953,12.03,12.0917,12.3038,15.3433,23.856,23.8953,24.2138,24.6426,33.3304,42.2229,51.4841,56.5763
